date,code_number,CCAA,number_of_cases,hospitalized
2/21/2020,1,Andalucía,0,
2/22/2020,1,Andalucía,0,
2/23/2020,1,Andalucía,0,
2/24/2020,1,Andalucía,0,
2/25/2020,1,Andalucía,0,
2/26/2020,1,Andalucía,0,
2/27/2020,1,Andalucía,1,
2/28/2020,1,Andalucía,6,
2/29/2020,1,Andalucía,8,
3/1/2020,1,Andalucía,12,
3/2/2020,1,Andalucía,12,
3/3/2020,1,Andalucía,12,
3/4/2020,1,Andalucía,12,
3/5/2020,1,Andalucía,12,
3/6/2020,1,Andalucía,21,
3/7/2020,1,Andalucía,27,
3/8/2020,1,Andalucía,34,
3/9/2020,1,Andalucía,54,
3/10/2020,1,Andalucía,71,
3/11/2020,1,Andalucía,90,32
3/12/2020,1,Andalucía,115,50
3/13/2020,1,Andalucía,219,92
3/14/2020,1,Andalucía,269,92
3/15/2020,1,Andalucía,437,92
3/16/2020,1,Andalucía,554,197
3/17/2020,1,Andalucía,683,229
3/18/2020,1,Andalucía,859,319
3/19/2020,1,Andalucía,1008,384
3/20/2020,1,Andalucía,1287,501
3/21/2020,1,Andalucía,1515,605
3/22/2020,1,Andalucía,1725,724
3/23/2020,1,Andalucía,1961,865
3/24/2020,1,Andalucía,2470,1132
3/25/2020,1,Andalucía,3008,1433
3/26/2020,1,Andalucía,3404,1626
3/27/2020,1,Andalucía,3790,1843
3/28/2020,1,Andalucía,4271,2106
3/29/2020,1,Andalucía,4676,2294
3/30/2020,1,Andalucía,5398,2671
3/31/2020,1,Andalucía,5809,2867
4/1/2020,1,Andalucía,6379,3147
4/2/2020,1,Andalucía,6957,3444
4/3/2020,1,Andalucía,7353,3673
4/4/2020,1,Andalucía,7847,3896
4/5/2020,1,Andalucía,8279,4107
4/6/2020,1,Andalucía,8559,4227
4/7/2020,1,Andalucía,8743,4335
4/8/2020,1,Andalucía,8973,4463
4/9/2020,1,Andalucía,9234,4599
4/10/2020,1,Andalucía,9482,4715
4/11/2020,1,Andalucía,9682,4808
4/12/2020,1,Andalucía,9976,4950
4/13/2020,1,Andalucía,10062,4993
4/14/2020,1,Andalucía,10283,5054
4/15/2020,1,Andalucía,10561,5147
4/16/2020,1,Andalucía,10773,5226
4/17/2020,1,Andalucía,11018,5298
4/18/2020,1,Andalucía,11168,5341
4/19/2020,1,Andalucía,11389,5424
4/20/2020,1,Andalucía,11518,5473
4/21/2020,1,Andalucía,11648,5509
4/22/2020,1,Andalucía,11879,5565
4/23/2020,1,Andalucía,12195,5616
4/24/2020,1,Andalucía,12449,5675
4/25/2020,1,Andalucía,12774,5715
4/26/2020,1,Andalucía,12972,5747
4/27/2020,1,Andalucía,13108,5767
4/28/2020,1,Andalucía,13195,5792
4/29/2020,1,Andalucía,13445,5831
4/30/2020,1,Andalucía,13624,5873
5/1/2020,1,Andalucía,13881,5935
5/2/2020,1,Andalucía,14128,5961
5/3/2020,1,Andalucía,14251,5961
5/4/2020,1,Andalucía,14311,5973
5/5/2020,1,Andalucía,14351,5983
5/6/2020,1,Andalucía,14593,6012
5/7/2020,1,Andalucía,14824,6027
5/8/2020,1,Andalucía,15002,6038
5/9/2020,1,Andalucía,15180,6069
5/10/2020,1,Andalucía,15355,6080
5/11/2020,1,Andalucía,15422,6092
5/12/2020,1,Andalucía,15522,6101
5/13/2020,1,Andalucía,15629,6114
5/14/2020,1,Andalucía,15823,6128
5/15/2020,1,Andalucía,16068,6146
5/16/2020,1,Andalucía,16263,6161
5/17/2020,1,Andalucía,16432,6174
2/21/2020,2,Aragón,0,
2/22/2020,2,Aragón,0,
2/23/2020,2,Aragón,0,
2/24/2020,2,Aragón,0,
2/25/2020,2,Aragón,0,
2/26/2020,2,Aragón,0,
2/27/2020,2,Aragón,0,
2/28/2020,2,Aragón,0,
2/29/2020,2,Aragón,0,
3/1/2020,2,Aragón,0,
3/2/2020,2,Aragón,0,
3/3/2020,2,Aragón,0,
3/4/2020,2,Aragón,0,
3/5/2020,2,Aragón,1,
3/6/2020,2,Aragón,1,
3/7/2020,2,Aragón,5,
3/8/2020,2,Aragón,5,
3/9/2020,2,Aragón,7,
3/10/2020,2,Aragón,30,
3/11/2020,2,Aragón,38,22
3/12/2020,2,Aragón,45,28
3/13/2020,2,Aragón,64,30
3/14/2020,2,Aragón,80,42
3/15/2020,2,Aragón,121,59
3/16/2020,2,Aragón,147,64
3/17/2020,2,Aragón,207,74
3/18/2020,2,Aragón,226,81
3/19/2020,2,Aragón,281,101
3/20/2020,2,Aragón,360,127
3/21/2020,2,Aragón,424,192
3/22/2020,2,Aragón,532,241
3/23/2020,2,Aragón,638,298
3/24/2020,2,Aragón,758,384
3/25/2020,2,Aragón,907,459
3/26/2020,2,Aragón,1116,562
3/27/2020,2,Aragón,1338,693
3/28/2020,2,Aragón,1592,835
3/29/2020,2,Aragón,1858,835
3/30/2020,2,Aragón,2078,1094
3/31/2020,2,Aragón,2272,1176
4/1/2020,2,Aragón,2491,1234
4/2/2020,2,Aragón,2700,1320
4/3/2020,2,Aragón,2889,1431
4/4/2020,2,Aragón,3078,1505
4/5/2020,2,Aragón,3232,1588
4/6/2020,2,Aragón,3347,1637
4/7/2020,2,Aragón,3449,1663
4/8/2020,2,Aragón,3549,1716
