date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
2/21/2020,1,Andalucía,0,,,
2/22/2020,1,Andalucía,0,,,
2/23/2020,1,Andalucía,0,,,
2/24/2020,1,Andalucía,0,,,
2/25/2020,1,Andalucía,0,,,
2/26/2020,1,Andalucía,0,,,
2/27/2020,1,Andalucía,1,,,
2/28/2020,1,Andalucía,6,,,
2/29/2020,1,Andalucía,8,,,
3/1/2020,1,Andalucía,12,,,
3/2/2020,1,Andalucía,12,,,
3/3/2020,1,Andalucía,12,,,
3/4/2020,1,Andalucía,12,,,
3/5/2020,1,Andalucía,12,,,
3/6/2020,1,Andalucía,21,,,
3/7/2020,1,Andalucía,27,,,
3/8/2020,1,Andalucía,34,,,
3/9/2020,1,Andalucía,54,,1,11
3/10/2020,1,Andalucía,71,,1,11
3/11/2020,1,Andalucía,90,32,3,11
3/12/2020,1,Andalucía,115,50,4,11
3/13/2020,1,Andalucía,219,92,8,11
3/14/2020,1,Andalucía,269,92,8,11
3/15/2020,1,Andalucía,437,92,8,11
3/16/2020,1,Andalucía,554,197,11,11
3/17/2020,1,Andalucía,683,229,13,11
3/18/2020,1,Andalucía,859,319,21,33
3/19/2020,1,Andalucía,1008,384,25,33
3/20/2020,1,Andalucía,1287,501,38,36
3/21/2020,1,Andalucía,1515,605,53,36
3/22/2020,1,Andalucía,1725,724,55,38
3/23/2020,1,Andalucía,1961,865,77,50
3/24/2020,1,Andalucía,2470,1132,102,66
3/25/2020,1,Andalucía,3008,1433,116,71
3/26/2020,1,Andalucía,3404,1626,134,77
3/27/2020,1,Andalucía,3790,1843,148,92
3/28/2020,1,Andalucía,4271,2106,172,139
3/29/2020,1,Andalucía,4676,2294,201,148
3/30/2020,1,Andalucía,5398,2671,216,155
3/31/2020,1,Andalucía,5809,2867,235,160
4/1/2020,1,Andalucía,6379,3147,260,182
4/2/2020,1,Andalucía,6957,3444,280,228
4/3/2020,1,Andalucía,7353,3673,338,258
4/4/2020,1,Andalucía,7847,3896,364,463
4/5/2020,1,Andalucía,8279,4107,474,665
4/6/2020,1,Andalucía,8559,4227,489,798
4/7/2020,1,Andalucía,8743,4335,499,900
4/8/2020,1,Andalucía,8973,4463,520,1041
4/9/2020,1,Andalucía,9234,4599,538,1193
4/10/2020,1,Andalucía,9482,4715,582,1437
4/11/2020,1,Andalucía,9682,4808,602,1630
4/12/2020,1,Andalucía,9976,4950,619,1838
4/13/2020,1,Andalucía,10062,4993,621,1967
4/14/2020,1,Andalucía,10283,5054,631,2032
4/15/2020,1,Andalucía,10561,5147,665,2224
4/16/2020,1,Andalucía,10773,5226,671,2634
4/17/2020,1,Andalucía,11018,5298,675,2790
4/18/2020,1,Andalucía,11168,5341,677,2948
4/19/2020,1,Andalucía,11389,5424,687,3116
4/20/2020,1,Andalucía,11518,5473,690,3229
4/21/2020,1,Andalucía,11648,5509,692,3411
4/22/2020,1,Andalucía,11879,5565,696,3569
4/23/2020,1,Andalucía,12195,5616,702,3847
4/24/2020,1,Andalucía,12449,5675,714,3992
4/25/2020,1,Andalucía,12774,5715,717,4295
4/26/2020,1,Andalucía,12972,5747,716,4741
4/27/2020,1,Andalucía,13108,5767,720,4890
4/28/2020,1,Andalucía,13195,5792,721,5039
4/29/2020,1,Andalucía,13445,5831,722,5272
4/30/2020,1,Andalucía,13624,5873,721,5710
5/1/2020,1,Andalucía,13881,5935,729,6334
5/2/2020,1,Andalucía,14128,5961,735,6821
5/3/2020,1,Andalucía,14251,5961,736,6897
5/4/2020,1,Andalucía,14311,5973,738,7021
5/5/2020,1,Andalucía,14351,5983,738,7230
5/6/2020,1,Andalucía,14593,6012,740,7679
5/7/2020,1,Andalucía,14824,6027,742,8076
5/8/2020,1,Andalucía,15002,6038,742,8435
5/9/2020,1,Andalucía,15180,6069,745,8779
5/10/2020,1,Andalucía,15355,6080,745,9020
5/11/2020,1,Andalucía,15422,6092,745,9205
5/12/2020,1,Andalucía,15522,6101,745,9297
5/13/2020,1,Andalucía,15629,6114,750,9481
5/14/2020,1,Andalucía,15823,6128,751,9918
5/15/2020,1,Andalucía,16068,6146,754,10148
5/16/2020,1,Andalucía,16263,6161,758,10319
5/17/2020,1,Andalucía,16432,6174,760,10611
2/21/2020,2,Aragón,0,,,
2/22/2020,2,Aragón,0,,,
2/23/2020,2,Aragón,0,,,
2/24/2020,2,Aragón,0,,,
2/25/2020,2,Aragón,0,,,
2/26/2020,2,Aragón,0,,,
2/27/2020,2,Aragón,0,,,
2/28/2020,2,Aragón,0,,,
2/29/2020,2,Aragón,0,,,
3/1/2020,2,Aragón,0,,,
3/2/2020,2,Aragón,0,,,
3/3/2020,2,Aragón,0,,,
3/4/2020,2,Aragón,0,,,
3/5/2020,2,Aragón,1,,,
3/6/2020,2,Aragón,1,,,
3/7/2020,2,Aragón,5,,,
3/8/2020,2,Aragón,5,,,
3/9/2020,2,Aragón,7,,3,0
3/10/2020,2,Aragón,30,,3,0
3/11/2020,2,Aragón,38,22,3,0
3/12/2020,2,Aragón,45,28,3,0
3/13/2020,2,Aragón,64,30,3,0
3/14/2020,2,Aragón,80,42,5,0
3/15/2020,2,Aragón,121,59,5,0
3/16/2020,2,Aragón,147,64,7,0
3/17/2020,2,Aragón,207,74,9,0
