fecha,cod_ine,CCAA,recovered
2/21/2020,1,Andalucía,
2/22/2020,1,Andalucía,
2/23/2020,1,Andalucía,
2/24/2020,1,Andalucía,
2/25/2020,1,Andalucía,
2/26/2020,1,Andalucía,
2/27/2020,1,Andalucía,
2/28/2020,1,Andalucía,
2/29/2020,1,Andalucía,
3/1/2020,1,Andalucía,
3/2/2020,1,Andalucía,
3/3/2020,1,Andalucía,
3/4/2020,1,Andalucía,
3/5/2020,1,Andalucía,
3/6/2020,1,Andalucía,
3/7/2020,1,Andalucía,
3/8/2020,1,Andalucía,
3/9/2020,1,Andalucía,11
3/10/2020,1,Andalucía,11
3/11/2020,1,Andalucía,11
3/12/2020,1,Andalucía,11
3/13/2020,1,Andalucía,11
3/14/2020,1,Andalucía,11
3/15/2020,1,Andalucía,11
3/16/2020,1,Andalucía,11
3/17/2020,1,Andalucía,11
3/18/2020,1,Andalucía,33
3/19/2020,1,Andalucía,33
3/20/2020,1,Andalucía,36
3/21/2020,1,Andalucía,36
3/22/2020,1,Andalucía,38
3/23/2020,1,Andalucía,50
3/24/2020,1,Andalucía,66
3/25/2020,1,Andalucía,71
3/26/2020,1,Andalucía,77
3/27/2020,1,Andalucía,92
3/28/2020,1,Andalucía,139
3/29/2020,1,Andalucía,148
3/30/2020,1,Andalucía,155
3/31/2020,1,Andalucía,160
4/1/2020,1,Andalucía,182
4/2/2020,1,Andalucía,228
4/3/2020,1,Andalucía,258
4/4/2020,1,Andalucía,463
4/5/2020,1,Andalucía,665
4/6/2020,1,Andalucía,798
4/7/2020,1,Andalucía,900
4/8/2020,1,Andalucía,1041
4/9/2020,1,Andalucía,1193
4/10/2020,1,Andalucía,1437
4/11/2020,1,Andalucía,1630
4/12/2020,1,Andalucía,1838
4/13/2020,1,Andalucía,1967
4/14/2020,1,Andalucía,2032
4/15/2020,1,Andalucía,2224
4/16/2020,1,Andalucía,2634
4/17/2020,1,Andalucía,2790
4/18/2020,1,Andalucía,2948
4/19/2020,1,Andalucía,3116
4/20/2020,1,Andalucía,3229
4/21/2020,1,Andalucía,3411
4/22/2020,1,Andalucía,3569
4/23/2020,1,Andalucía,3847
4/24/2020,1,Andalucía,3992
4/25/2020,1,Andalucía,4295
4/26/2020,1,Andalucía,4741
4/27/2020,1,Andalucía,4890
4/28/2020,1,Andalucía,5039
4/29/2020,1,Andalucía,5272
4/30/2020,1,Andalucía,5710
5/1/2020,1,Andalucía,6334
5/2/2020,1,Andalucía,6821
5/3/2020,1,Andalucía,6897
5/4/2020,1,Andalucía,7021
5/5/2020,1,Andalucía,7230
5/6/2020,1,Andalucía,7679
5/7/2020,1,Andalucía,8076
5/8/2020,1,Andalucía,8435
5/9/2020,1,Andalucía,8779
5/10/2020,1,Andalucía,9020
5/11/2020,1,Andalucía,9205
5/12/2020,1,Andalucía,9297
5/13/2020,1,Andalucía,9481
5/14/2020,1,Andalucía,9918
5/15/2020,1,Andalucía,10148
5/16/2020,1,Andalucía,10319
5/17/2020,1,Andalucía,10611
2/21/2020,2,Aragón,
