fecha,cod_ine,CCAA,number_of_cases
2/21/2020,1,Andalucía,0
2/22/2020,1,Andalucía,0
2/23/2020,1,Andalucía,0
2/24/2020,1,Andalucía,0
2/25/2020,1,Andalucía,0
2/26/2020,1,Andalucía,0
2/27/2020,1,Andalucía,1
2/28/2020,1,Andalucía,6
2/29/2020,1,Andalucía,8
3/1/2020,1,Andalucía,12
3/2/2020,1,Andalucía,12
3/3/2020,1,Andalucía,12
3/4/2020,1,Andalucía,12
3/5/2020,1,Andalucía,12
3/6/2020,1,Andalucía,21
3/7/2020,1,Andalucía,27
3/8/2020,1,Andalucía,34
3/9/2020,1,Andalucía,54
3/10/2020,1,Andalucía,71
3/11/2020,1,Andalucía,90
3/12/2020,1,Andalucía,115
3/13/2020,1,Andalucía,219
3/14/2020,1,Andalucía,269
3/15/2020,1,Andalucía,437
3/16/2020,1,Andalucía,554
3/17/2020,1,Andalucía,683
3/18/2020,1,Andalucía,859
3/19/2020,1,Andalucía,1008
3/20/2020,1,Andalucía,1287
3/21/2020,1,Andalucía,1515
3/22/2020,1,Andalucía,1725
3/23/2020,1,Andalucía,1961
3/24/2020,1,Andalucía,2470
3/25/2020,1,Andalucía,3008
3/26/2020,1,Andalucía,3404
3/27/2020,1,Andalucía,3790
3/28/2020,1,Andalucía,4271
3/29/2020,1,Andalucía,4676
3/30/2020,1,Andalucía,5398
3/31/2020,1,Andalucía,5809
4/1/2020,1,Andalucía,6379
4/2/2020,1,Andalucía,6957
4/3/2020,1,Andalucía,7353
4/4/2020,1,Andalucía,7847
4/5/2020,1,Andalucía,8279
4/6/2020,1,Andalucía,8559
4/7/2020,1,Andalucía,8743
4/8/2020,1,Andalucía,8973
4/9/2020,1,Andalucía,9234
4/10/2020,1,Andalucía,9482
4/11/2020,1,Andalucía,9682
4/12/2020,1,Andalucía,9976
4/13/2020,1,Andalucía,10062
4/14/2020,1,Andalucía,10283
4/15/2020,1,Andalucía,10561
4/16/2020,1,Andalucía,10773
4/17/2020,1,Andalucía,11018
4/18/2020,1,Andalucía,11168
4/19/2020,1,Andalucía,11389
4/20/2020,1,Andalucía,11518
4/21/2020,1,Andalucía,11648
4/22/2020,1,Andalucía,11879
4/23/2020,1,Andalucía,12195
4/24/2020,1,Andalucía,12449
4/25/2020,1,Andalucía,12774
4/26/2020,1,Andalucía,12972
4/27/2020,1,Andalucía,13108
4/28/2020,1,Andalucía,13195
4/29/2020,1,Andalucía,13445
4/30/2020,1,Andalucía,13624
5/1/2020,1,Andalucía,13881
5/2/2020,1,Andalucía,14128
5/3/2020,1,Andalucía,14251
5/4/2020,1,Andalucía,14311
5/5/2020,1,Andalucía,14351
5/6/2020,1,Andalucía,14593
5/7/2020,1,Andalucía,14824
5/8/2020,1,Andalucía,15002
5/9/2020,1,Andalucía,15180
5/10/2020,1,Andalucía,15355
5/11/2020,1,Andalucía,15422
5/12/2020,1,Andalucía,15522
5/13/2020,1,Andalucía,15629
5/14/2020,1,Andalucía,15823
5/15/2020,1,Andalucía,16068
5/16/2020,1,Andalucía,16263
5/17/2020,1,Andalucía,16432
2/21/2020,2,Aragón,0
2/22/2020,2,Aragón,0
2/23/2020,2,Aragón,0
2/24/2020,2,Aragón,0
2/25/2020,2,Aragón,0
2/26/2020,2,Aragón,0
2/27/2020,2,Aragón,0
2/28/2020,2,Aragón,0
2/29/2020,2,Aragón,0
3/1/2020,2,Aragón,0
3/2/2020,2,Aragón,0
3/3/2020,2,Aragón,0
3/4/2020,2,Aragón,0
3/5/2020,2,Aragón,1
3/6/2020,2,Aragón,1
3/7/2020,2,Aragón,5
3/8/2020,2,Aragón,5
3/9/2020,2,Aragón,7
3/10/2020,2,Aragón,30
3/11/2020,2,Aragón,38
3/12/2020,2,Aragón,45
3/13/2020,2,Aragón,64
3/14/2020,2,Aragón,80
3/15/2020,2,Aragón,121
3/16/2020,2,Aragón,147
3/17/2020,2,Aragón,207
3/18/2020,2,Aragón,226
3/19/2020,2,Aragón,281
3/20/2020,2,Aragón,360
3/21/2020,2,Aragón,424
3/22/2020,2,Aragón,532
3/23/2020,2,Aragón,638
3/24/2020,2,Aragón,758
3/25/2020,2,Aragón,907
3/26/2020,2,Aragón,1116
3/27/2020,2,Aragón,1338
3/28/2020,2,Aragón,1592
3/29/2020,2,Aragón,1858
3/30/2020,2,Aragón,2078
3/31/2020,2,Aragón,2272
4/1/2020,2,Aragón,2491
4/2/2020,2,Aragón,2700
4/3/2020,2,Aragón,2889
4/4/2020,2,Aragón,3078
4/5/2020,2,Aragón,3232
4/6/2020,2,Aragón,3347
4/7/2020,2,Aragón,3449
4/8/2020,2,Aragón,3549
4/9/2020,2,Aragón,3685
4/10/2020,2,Aragón,3831
4/11/2020,2,Aragón,3998
4/12/2020,2,Aragón,4125
4/13/2020,2,Aragón,4248
4/14/2020,2,Aragón,4332
4/15/2020,2,Aragón,4450
4/16/2020,2,Aragón,4566
4/17/2020,2,Aragón,4664
4/18/2020,2,Aragón,4761
4/19/2020,2,Aragón,4831
4/20/2020,2,Aragón,4886
4/21/2020,2,Aragón,4938
4/22/2020,2,Aragón,5054
4/23/2020,2,Aragón,5237
4/24/2020,2,Aragón,5295
4/25/2020,2,Aragón,5382
4/26/2020,2,Aragón,5456
