fecha,cod_ine,CCAA,death
3/3/2020,1,Andalucía,0
3/4/2020,1,Andalucía,0
3/5/2020,1,Andalucía,0
3/6/2020,1,Andalucía,0
3/7/2020,1,Andalucía,0
3/8/2020,1,Andalucía,0
3/9/2020,1,Andalucía,0
3/10/2020,1,Andalucía,0
3/11/2020,1,Andalucía,0
3/12/2020,1,Andalucía,0
3/13/2020,1,Andalucía,0
3/14/2020,1,Andalucía,2
3/15/2020,1,Andalucía,6
3/16/2020,1,Andalucía,7
3/17/2020,1,Andalucía,11
3/18/2020,1,Andalucía,19
3/19/2020,1,Andalucía,23
3/20/2020,1,Andalucía,30
3/21/2020,1,Andalucía,40
3/22/2020,1,Andalucía,47
3/23/2020,1,Andalucía,58
3/24/2020,1,Andalucía,87
3/25/2020,1,Andalucía,113
3/26/2020,1,Andalucía,134
3/27/2020,1,Andalucía,144
3/28/2020,1,Andalucía,175
3/29/2020,1,Andalucía,207
3/30/2020,1,Andalucía,236
3/31/2020,1,Andalucía,248
4/1/2020,1,Andalucía,308
4/2/2020,1,Andalucía,343
4/3/2020,1,Andalucía,376
4/4/2020,1,Andalucía,426
4/5/2020,1,Andalucía,470
4/6/2020,1,Andalucía,491
4/7/2020,1,Andalucía,528
4/8/2020,1,Andalucía,605
4/9/2020,1,Andalucía,652
4/10/2020,1,Andalucía,691
4/11/2020,1,Andalucía,737
4/12/2020,1,Andalucía,799
4/13/2020,1,Andalucía,815
4/14/2020,1,Andalucía,836
4/15/2020,1,Andalucía,865
4/16/2020,1,Andalucía,912
4/17/2020,1,Andalucía,940
4/18/2020,1,Andalucía,967
4/19/2020,1,Andalucía,993
4/20/2020,1,Andalucía,1013
4/21/2020,1,Andalucía,1017
4/22/2020,1,Andalucía,1050
4/23/2020,1,Andalucía,1079
4/24/2020,1,Andalucía,1107
4/25/2020,1,Andalucía,1131
4/26/2020,1,Andalucía,1145
4/27/2020,1,Andalucía,1157
4/28/2020,1,Andalucía,1168
4/29/2020,1,Andalucía,1188
4/30/2020,1,Andalucía,1207
5/1/2020,1,Andalucía,1238
5/2/2020,1,Andalucía,1253
