fecha,cod_ine,CCAA,hospitalized
2/21/2020,1,Andalucía,
2/22/2020,1,Andalucía,
2/23/2020,1,Andalucía,
2/24/2020,1,Andalucía,
2/25/2020,1,Andalucía,
2/26/2020,1,Andalucía,
2/27/2020,1,Andalucía,
2/28/2020,1,Andalucía,
2/29/2020,1,Andalucía,
3/1/2020,1,Andalucía,
3/2/2020,1,Andalucía,
3/3/2020,1,Andalucía,
3/4/2020,1,Andalucía,
3/5/2020,1,Andalucía,
3/6/2020,1,Andalucía,
3/7/2020,1,Andalucía,
3/8/2020,1,Andalucía,
3/9/2020,1,Andalucía,
3/10/2020,1,Andalucía,
3/11/2020,1,Andalucía,32
3/12/2020,1,Andalucía,50
3/13/2020,1,Andalucía,92
3/14/2020,1,Andalucía,92
3/15/2020,1,Andalucía,92
3/16/2020,1,Andalucía,197
3/17/2020,1,Andalucía,229
3/18/2020,1,Andalucía,319
3/19/2020,1,Andalucía,384
3/20/2020,1,Andalucía,501
3/21/2020,1,Andalucía,605
3/22/2020,1,Andalucía,724
3/23/2020,1,Andalucía,865
3/24/2020,1,Andalucía,1132
3/25/2020,1,Andalucía,1433
3/26/2020,1,Andalucía,1626
3/27/2020,1,Andalucía,1843
3/28/2020,1,Andalucía,2106
3/29/2020,1,Andalucía,2294
3/30/2020,1,Andalucía,2671
3/31/2020,1,Andalucía,2867
4/1/2020,1,Andalucía,3147
4/2/2020,1,Andalucía,3444
4/3/2020,1,Andalucía,3673
4/4/2020,1,Andalucía,3896
4/5/2020,1,Andalucía,4107
4/6/2020,1,Andalucía,4227
4/7/2020,1,Andalucía,4335
4/8/2020,1,Andalucía,4463
4/9/2020,1,Andalucía,4599
4/10/2020,1,Andalucía,4715
4/11/2020,1,Andalucía,4808
4/12/2020,1,Andalucía,4950
4/13/2020,1,Andalucía,4993
4/14/2020,1,Andalucía,5054
4/15/2020,1,Andalucía,5147
4/16/2020,1,Andalucía,5226
4/17/2020,1,Andalucía,5298
4/18/2020,1,Andalucía,5341
4/19/2020,1,Andalucía,5424
4/20/2020,1,Andalucía,5473
4/21/2020,1,Andalucía,5509
4/22/2020,1,Andalucía,5565
4/23/2020,1,Andalucía,5616
4/24/2020,1,Andalucía,5675
4/25/2020,1,Andalucía,5715
4/26/2020,1,Andalucía,5747
4/27/2020,1,Andalucía,5767
4/28/2020,1,Andalucía,5792
4/29/2020,1,Andalucía,5831
4/30/2020,1,Andalucía,5873
5/1/2020,1,Andalucía,5935
5/2/2020,1,Andalucía,5961
5/3/2020,1,Andalucía,5961
5/4/2020,1,Andalucía,5973
5/5/2020,1,Andalucía,5983
5/6/2020,1,Andalucía,6012
5/7/2020,1,Andalucía,6027
5/8/2020,1,Andalucía,6038
5/9/2020,1,Andalucía,6069
5/10/2020,1,Andalucía,6080
5/11/2020,1,Andalucía,6092
5/12/2020,1,Andalucía,6101
5/13/2020,1,Andalucía,6114
5/14/2020,1,Andalucía,6128
5/15/2020,1,Andalucía,6146
5/16/2020,1,Andalucía,6161
5/17/2020,1,Andalucía,6174
