fecha,cod_ine,CCAA,ICU
2/21/2020,1,Andalucía,
2/22/2020,1,Andalucía,
2/23/2020,1,Andalucía,
2/24/2020,1,Andalucía,
2/25/2020,1,Andalucía,
2/26/2020,1,Andalucía,
2/27/2020,1,Andalucía,
2/28/2020,1,Andalucía,
2/29/2020,1,Andalucía,
3/1/2020,1,Andalucía,
3/2/2020,1,Andalucía,
3/3/2020,1,Andalucía,
3/4/2020,1,Andalucía,
3/5/2020,1,Andalucía,
3/6/2020,1,Andalucía,
3/7/2020,1,Andalucía,
3/8/2020,1,Andalucía,
3/9/2020,1,Andalucía,1
3/10/2020,1,Andalucía,1
3/11/2020,1,Andalucía,3
3/12/2020,1,Andalucía,4
3/13/2020,1,Andalucía,8
3/14/2020,1,Andalucía,8
3/15/2020,1,Andalucía,8
3/16/2020,1,Andalucía,11
3/17/2020,1,Andalucía,13
3/18/2020,1,Andalucía,21
3/19/2020,1,Andalucía,25
3/20/2020,1,Andalucía,38
3/21/2020,1,Andalucía,53
3/22/2020,1,Andalucía,55
3/23/2020,1,Andalucía,77
3/24/2020,1,Andalucía,102
3/25/2020,1,Andalucía,116
3/26/2020,1,Andalucía,134
3/27/2020,1,Andalucía,148
3/28/2020,1,Andalucía,172
3/29/2020,1,Andalucía,201
3/30/2020,1,Andalucía,216
3/31/2020,1,Andalucía,235
4/1/2020,1,Andalucía,260
4/2/2020,1,Andalucía,280
4/3/2020,1,Andalucía,338
4/4/2020,1,Andalucía,364
4/5/2020,1,Andalucía,474
4/6/2020,1,Andalucía,489
4/7/2020,1,Andalucía,499
4/8/2020,1,Andalucía,520
4/9/2020,1,Andalucía,538
4/10/2020,1,Andalucía,582
4/11/2020,1,Andalucía,602
4/12/2020,1,Andalucía,619
4/13/2020,1,Andalucía,621
4/14/2020,1,Andalucía,631
4/15/2020,1,Andalucía,665
4/16/2020,1,Andalucía,671
4/17/2020,1,Andalucía,675
4/18/2020,1,Andalucía,677
4/19/2020,1,Andalucía,687
4/20/2020,1,Andalucía,690
4/21/2020,1,Andalucía,692
4/22/2020,1,Andalucía,696
4/23/2020,1,Andalucía,702
4/24/2020,1,Andalucía,714
4/25/2020,1,Andalucía,717
4/26/2020,1,Andalucía,716
4/27/2020,1,Andalucía,720
4/28/2020,1,Andalucía,721
4/29/2020,1,Andalucía,722
4/30/2020,1,Andalucía,721
5/1/2020,1,Andalucía,729
5/2/2020,1,Andalucía,735
5/3/2020,1,Andalucía,736
5/4/2020,1,Andalucía,738
5/5/2020,1,Andalucía,738
5/6/2020,1,Andalucía,740
5/7/2020,1,Andalucía,742
5/8/2020,1,Andalucía,742
5/9/2020,1,Andalucía,745
5/10/2020,1,Andalucía,745
5/11/2020,1,Andalucía,745
5/12/2020,1,Andalucía,745
5/13/2020,1,Andalucía,750
5/14/2020,1,Andalucía,751
5/15/2020,1,Andalucía,754
5/16/2020,1,Andalucía,758
5/17/2020,1,Andalucía,760
2/21/2020,2,Aragón,
2/22/2020,2,Aragón,
2/23/2020,2,Aragón,
2/24/2020,2,Aragón,
