,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
0,2/21/2020,1,Andalucía,0,,,
1,2/22/2020,1,Andalucía,0,,,
2,2/23/2020,1,Andalucía,0,,,
3,2/24/2020,1,Andalucía,0,,,
4,2/25/2020,1,Andalucía,0,,,
5,2/26/2020,1,Andalucía,0,,,
6,2/27/2020,1,Andalucía,1,,,
7,2/28/2020,1,Andalucía,6,,,
8,2/29/2020,1,Andalucía,8,,,
9,3/1/2020,1,Andalucía,12,,,
10,3/2/2020,1,Andalucía,12,,,
11,3/3/2020,1,Andalucía,12,,,
12,3/4/2020,1,Andalucía,12,,,
13,3/5/2020,1,Andalucía,12,,,
14,3/6/2020,1,Andalucía,21,,,
15,3/7/2020,1,Andalucía,27,,,
16,3/8/2020,1,Andalucía,34,,,
17,3/9/2020,1,Andalucía,54,,1.0,11.0
18,3/10/2020,1,Andalucía,71,,1.0,11.0
19,3/11/2020,1,Andalucía,90,32.0,3.0,11.0
20,3/12/2020,1,Andalucía,115,50.0,4.0,11.0
21,3/13/2020,1,Andalucía,219,92.0,8.0,11.0
22,3/14/2020,1,Andalucía,269,92.0,8.0,11.0
23,3/15/2020,1,Andalucía,437,92.0,8.0,11.0
24,3/16/2020,1,Andalucía,554,197.0,11.0,11.0
25,3/17/2020,1,Andalucía,683,229.0,13.0,11.0
26,3/18/2020,1,Andalucía,859,319.0,21.0,33.0
27,3/19/2020,1,Andalucía,1008,384.0,25.0,33.0
28,3/20/2020,1,Andalucía,1287,501.0,38.0,36.0
29,3/21/2020,1,Andalucía,1515,605.0,53.0,36.0
30,3/22/2020,1,Andalucía,1725,724.0,55.0,38.0
31,3/23/2020,1,Andalucía,1961,865.0,77.0,50.0
32,3/24/2020,1,Andalucía,2470,1132.0,102.0,66.0
33,3/25/2020,1,Andalucía,3008,1433.0,116.0,71.0
34,3/26/2020,1,Andalucía,3404,1626.0,134.0,77.0
35,3/27/2020,1,Andalucía,3790,1843.0,148.0,92.0
36,3/28/2020,1,Andalucía,4271,2106.0,172.0,139.0
37,3/29/2020,1,Andalucía,4676,2294.0,201.0,148.0
38,3/30/2020,1,Andalucía,5398,2671.0,216.0,155.0
39,3/31/2020,1,Andalucía,5809,2867.0,235.0,160.0
40,4/1/2020,1,Andalucía,6379,3147.0,260.0,182.0
41,4/2/2020,1,Andalucía,6957,3444.0,280.0,228.0
42,4/3/2020,1,Andalucía,7353,3673.0,338.0,258.0
43,4/4/2020,1,Andalucía,7847,3896.0,364.0,463.0
44,4/5/2020,1,Andalucía,8279,4107.0,474.0,665.0
45,4/6/2020,1,Andalucía,8559,4227.0,489.0,798.0
46,4/7/2020,1,Andalucía,8743,4335.0,499.0,900.0
47,4/8/2020,1,Andalucía,8973,4463.0,520.0,1041.0
48,4/9/2020,1,Andalucía,9234,4599.0,538.0,1193.0
49,4/10/2020,1,Andalucía,9482,4715.0,582.0,1437.0
50,4/11/2020,1,Andalucía,9682,4808.0,602.0,1630.0
51,4/12/2020,1,Andalucía,9976,4950.0,619.0,1838.0
52,4/13/2020,1,Andalucía,10062,4993.0,621.0,1967.0
53,4/14/2020,1,Andalucía,10283,5054.0,631.0,2032.0
54,4/15/2020,1,Andalucía,10561,5147.0,665.0,2224.0
55,4/16/2020,1,Andalucía,10773,5226.0,671.0,2634.0
56,4/17/2020,1,Andalucía,11018,5298.0,675.0,2790.0
57,4/18/2020,1,Andalucía,11168,5341.0,677.0,2948.0
58,4/19/2020,1,Andalucía,11389,5424.0,687.0,3116.0
59,4/20/2020,1,Andalucía,11518,5473.0,690.0,3229.0
60,4/21/2020,1,Andalucía,11648,5509.0,692.0,3411.0
61,4/22/2020,1,Andalucía,11879,5565.0,696.0,3569.0
62,4/23/2020,1,Andalucía,12195,5616.0,702.0,3847.0
63,4/24/2020,1,Andalucía,12449,5675.0,714.0,3992.0
64,4/25/2020,1,Andalucía,12774,5715.0,717.0,4295.0
65,4/26/2020,1,Andalucía,12972,5747.0,716.0,4741.0
66,4/27/2020,1,Andalucía,13108,5767.0,720.0,4890.0
67,4/28/2020,1,Andalucía,13195,5792.0,721.0,5039.0
68,4/29/2020,1,Andalucía,13445,5831.0,722.0,5272.0
69,4/30/2020,1,Andalucía,13624,5873.0,721.0,5710.0
70,5/1/2020,1,Andalucía,13881,5935.0,729.0,6334.0
71,5/2/2020,1,Andalucía,14128,5961.0,735.0,6821.0
72,5/3/2020,1,Andalucía,14251,5961.0,736.0,6897.0
73,5/4/2020,1,Andalucía,14311,5973.0,738.0,7021.0
74,5/5/2020,1,Andalucía,14351,5983.0,738.0,7230.0
75,5/6/2020,1,Andalucía,14593,6012.0,740.0,7679.0
76,5/7/2020,1,Andalucía,14824,6027.0,742.0,8076.0
77,5/8/2020,1,Andalucía,15002,6038.0,742.0,8435.0
78,5/9/2020,1,Andalucía,15180,6069.0,745.0,8779.0
79,5/10/2020,1,Andalucía,15355,6080.0,745.0,9020.0
80,5/11/2020,1,Andalucía,15422,6092.0,745.0,9205.0
81,5/12/2020,1,Andalucía,15522,6101.0,745.0,9297.0
82,5/13/2020,1,Andalucía,15629,6114.0,750.0,9481.0
83,5/14/2020,1,Andalucía,15823,6128.0,751.0,9918.0
84,5/15/2020,1,Andalucía,16068,6146.0,754.0,10148.0
85,5/16/2020,1,Andalucía,16263,6161.0,758.0,10319.0
86,5/17/2020,1,Andalucía,16432,6174.0,760.0,10611.0
