,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
87,2/21/2020,2,Aragón,0,,,
88,2/22/2020,2,Aragón,0,,,
89,2/23/2020,2,Aragón,0,,,
90,2/24/2020,2,Aragón,0,,,
91,2/25/2020,2,Aragón,0,,,
92,2/26/2020,2,Aragón,0,,,
93,2/27/2020,2,Aragón,0,,,
94,2/28/2020,2,Aragón,0,,,
95,2/29/2020,2,Aragón,0,,,
96,3/1/2020,2,Aragón,0,,,
97,3/2/2020,2,Aragón,0,,,
98,3/3/2020,2,Aragón,0,,,
99,3/4/2020,2,Aragón,0,,,
100,3/5/2020,2,Aragón,1,,,
101,3/6/2020,2,Aragón,1,,,
102,3/7/2020,2,Aragón,5,,,
103,3/8/2020,2,Aragón,5,,,
104,3/9/2020,2,Aragón,7,,3.0,0.0
105,3/10/2020,2,Aragón,30,,3.0,0.0
106,3/11/2020,2,Aragón,38,22.0,3.0,0.0
107,3/12/2020,2,Aragón,45,28.0,3.0,0.0
108,3/13/2020,2,Aragón,64,30.0,3.0,0.0
109,3/14/2020,2,Aragón,80,42.0,5.0,0.0
110,3/15/2020,2,Aragón,121,59.0,5.0,0.0
111,3/16/2020,2,Aragón,147,64.0,7.0,0.0
112,3/17/2020,2,Aragón,207,74.0,9.0,0.0
113,3/18/2020,2,Aragón,226,81.0,9.0,0.0
114,3/19/2020,2,Aragón,281,101.0,14.0,0.0
115,3/20/2020,2,Aragón,360,127.0,28.0,0.0
116,3/21/2020,2,Aragón,424,192.0,33.0,0.0
117,3/22/2020,2,Aragón,532,241.0,45.0,3.0
118,3/23/2020,2,Aragón,638,298.0,52.0,3.0
119,3/24/2020,2,Aragón,758,384.0,66.0,3.0
120,3/25/2020,2,Aragón,907,459.0,75.0,4.0
121,3/26/2020,2,Aragón,1116,562.0,93.0,4.0
122,3/27/2020,2,Aragón,1338,693.0,114.0,8.0
123,3/28/2020,2,Aragón,1592,835.0,124.0,8.0
124,3/29/2020,2,Aragón,1858,835.0,124.0,125.0
125,3/30/2020,2,Aragón,2078,1094.0,156.0,174.0
126,3/31/2020,2,Aragón,2272,1176.0,165.0,204.0
127,4/1/2020,2,Aragón,2491,1234.0,168.0,257.0
128,4/2/2020,2,Aragón,2700,1320.0,178.0,320.0
129,4/3/2020,2,Aragón,2889,1431.0,180.0,378.0
130,4/4/2020,2,Aragón,3078,1505.0,190.0,440.0
131,4/5/2020,2,Aragón,3232,1588.0,233.0,537.0
132,4/6/2020,2,Aragón,3347,1637.0,237.0,565.0
133,4/7/2020,2,Aragón,3449,1663.0,247.0,578.0
134,4/8/2020,2,Aragón,3549,1716.0,255.0,659.0
135,4/9/2020,2,Aragón,3685,1765.0,261.0,718.0
136,4/10/2020,2,Aragón,3831,1822.0,263.0,797.0
137,4/11/2020,2,Aragón,3998,1860.0,266.0,888.0
138,4/12/2020,2,Aragón,4125,1901.0,272.0,934.0
139,4/13/2020,2,Aragón,4248,1938.0,274.0,946.0
140,4/14/2020,2,Aragón,4332,1966.0,280.0,963.0
141,4/15/2020,2,Aragón,4450,2006.0,282.0,1012.0
142,4/16/2020,2,Aragón,4566,2108.0,291.0,1087.0
143,4/17/2020,2,Aragón,4664,2151.0,240.0,1121.0
144,4/18/2020,2,Aragón,4761,2180.0,243.0,1121.0
145,4/19/2020,2,Aragón,4831,2216.0,246.0,1175.0
146,4/20/2020,2,Aragón,4886,2244.0,248.0,1178.0
147,4/21/2020,2,Aragón,4938,2271.0,250.0,1182.0
148,4/22/2020,2,Aragón,5054,2304.0,252.0,1530.0
149,4/23/2020,2,Aragón,5237,2340.0,253.0,1680.0
150,4/24/2020,2,Aragón,5295,2359.0,254.0,1781.0
151,4/25/2020,2,Aragón,5382,2372.0,255.0,1929.0
152,4/26/2020,2,Aragón,5456,2395.0,257.0,1960.0
153,4/27/2020,2,Aragón,5504,2403.0,257.0,2010.0
154,4/28/2020,2,Aragón,5557,2425.0,258.0,2081.0
155,4/29/2020,2,Aragón,5652,2454.0,258.0,2189.0
156,4/30/2020,2,Aragón,5971,2477.0,258.0,2291.0
157,5/1/2020,2,Aragón,6103,2494.0,260.0,2382.0
158,5/2/2020,2,Aragón,6164,2503.0,260.0,2474.0
159,5/3/2020,2,Aragón,6208,2519.0,260.0,2558.0
160,5/4/2020,2,Aragón,6239,2526.0,260.0,2624.0
161,5/5/2020,2,Aragón,6282,2539.0,260.0,2704.0
162,5/6/2020,2,Aragón,6382,2552.0,260.0,2790.0
163,5/7/2020,2,Aragón,6516,2564.0,262.0,2880.0
164,5/8/2020,2,Aragón,6575,2578.0,263.0,2953.0
165,5/9/2020,2,Aragón,6656,2583.0,263.0,3006.0
166,5/10/2020,2,Aragón,6702,2588.0,263.0,3076.0
167,5/11/2020,2,Aragón,6731,2595.0,263.0,3116.0
168,5/12/2020,2,Aragón,6797,2606.0,264.0,3186.0
169,5/13/2020,2,Aragón,6856,2614.0,265.0,3312.0
170,5/14/2020,2,Aragón,6943,2625.0,265.0,3471.0
171,5/15/2020,2,Aragón,7015,2637.0,266.0,3534.0
172,5/16/2020,2,Aragón,7125,2648.0,266.0,3655.0
173,5/17/2020,2,Aragón,7177,2655.0,266.0,3727.0
