,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
174,2/21/2020,3,Asturias,0,,,
175,2/22/2020,3,Asturias,0,,,
176,2/23/2020,3,Asturias,0,,,
177,2/24/2020,3,Asturias,0,,,
178,2/25/2020,3,Asturias,0,,,
179,2/26/2020,3,Asturias,0,,,
180,2/27/2020,3,Asturias,0,,,
181,2/28/2020,3,Asturias,0,,,
182,2/29/2020,3,Asturias,0,,,
183,3/1/2020,3,Asturias,1,,,
184,3/2/2020,3,Asturias,1,,,
185,3/3/2020,3,Asturias,1,,,
186,3/4/2020,3,Asturias,3,,,
187,3/5/2020,3,Asturias,4,,,
188,3/6/2020,3,Asturias,5,,,
189,3/7/2020,3,Asturias,7,,,
190,3/8/2020,3,Asturias,8,,,
191,3/9/2020,3,Asturias,10,,2.0,0.0
192,3/10/2020,3,Asturias,21,,2.0,1.0
193,3/11/2020,3,Asturias,37,12.0,2.0,1.0
194,3/12/2020,3,Asturias,45,12.0,2.0,1.0
195,3/13/2020,3,Asturias,62,16.0,2.0,1.0
196,3/14/2020,3,Asturias,100,16.0,2.0,1.0
197,3/15/2020,3,Asturias,145,16.0,3.0,1.0
198,3/16/2020,3,Asturias,190,16.0,3.0,3.0
199,3/17/2020,3,Asturias,236,34.0,5.0,3.0
200,3/18/2020,3,Asturias,280,45.0,5.0,4.0
201,3/19/2020,3,Asturias,336,61.0,6.0,4.0
202,3/20/2020,3,Asturias,469,87.0,7.0,12.0
203,3/21/2020,3,Asturias,545,133.0,12.0,16.0
204,3/22/2020,3,Asturias,589,171.0,15.0,20.0
205,3/23/2020,3,Asturias,657,194.0,22.0,21.0
206,3/24/2020,3,Asturias,764,224.0,23.0,30.0
207,3/25/2020,3,Asturias,849,263.0,29.0,35.0
208,3/26/2020,3,Asturias,914,300.0,34.0,40.0
209,3/27/2020,3,Asturias,995,339.0,47.0,52.0
210,3/28/2020,3,Asturias,1077,408.0,50.0,65.0
211,3/29/2020,3,Asturias,1172,466.0,57.0,76.0
212,3/30/2020,3,Asturias,1251,479.0,60.0,78.0
213,3/31/2020,3,Asturias,1330,529.0,65.0,90.0
214,4/1/2020,3,Asturias,1392,590.0,76.0,109.0
215,4/2/2020,3,Asturias,1473,640.0,79.0,135.0
216,4/3/2020,3,Asturias,1533,702.0,86.0,154.0
217,4/4/2020,3,Asturias,1607,766.0,87.0,190.0
218,4/5/2020,3,Asturias,1650,808.0,90.0,216.0
219,4/6/2020,3,Asturias,1704,846.0,90.0,222.0
220,4/7/2020,3,Asturias,1730,889.0,91.0,244.0
221,4/8/2020,3,Asturias,1777,958.0,91.0,294.0
222,4/9/2020,3,Asturias,1861,1018.0,94.0,340.0
223,4/10/2020,3,Asturias,1911,1083.0,100.0,372.0
224,4/11/2020,3,Asturias,1974,1147.0,105.0,414.0
225,4/12/2020,3,Asturias,2058,1208.0,106.0,430.0
226,4/13/2020,3,Asturias,2088,1265.0,110.0,434.0
227,4/14/2020,3,Asturias,2139,1330.0,111.0,458.0
228,4/15/2020,3,Asturias,2208,1387.0,114.0,487.0
229,4/16/2020,3,Asturias,2288,1432.0,116.0,522.0
230,4/17/2020,3,Asturias,2327,1474.0,118.0,545.0
231,4/18/2020,3,Asturias,2373,1520.0,119.0,575.0
232,4/19/2020,3,Asturias,2393,1571.0,120.0,596.0
233,4/20/2020,3,Asturias,2408,1599.0,122.0,599.0
234,4/21/2020,3,Asturias,2453,1626.0,122.0,616.0
235,4/22/2020,3,Asturias,2515,1665.0,128.0,642.0
236,4/23/2020,3,Asturias,2561,1705.0,130.0,665.0
237,4/24/2020,3,Asturias,2601,1728.0,131.0,688.0
238,4/25/2020,3,Asturias,2653,1760.0,132.0,716.0
239,4/26/2020,3,Asturias,2703,1790.0,134.0,749.0
240,4/27/2020,3,Asturias,2736,1814.0,137.0,759.0
241,4/28/2020,3,Asturias,2809,1843.0,137.0,780.0
242,4/29/2020,3,Asturias,2876,1886.0,137.0,809.0
243,4/30/2020,3,Asturias,2933,1915.0,137.0,835.0
244,5/1/2020,3,Asturias,2974,1938.0,140.0,860.0
245,5/2/2020,3,Asturias,2997,1974.0,141.0,890.0
246,5/3/2020,3,Asturias,3018,1995.0,142.0,908.0
247,5/4/2020,3,Asturias,3030,2014.0,142.0,917.0
248,5/5/2020,3,Asturias,3058,2046.0,142.0,936.0
249,5/6/2020,3,Asturias,3094,2081.0,142.0,953.0
250,5/7/2020,3,Asturias,3099,2117.0,143.0,971.0
251,5/8/2020,3,Asturias,3157,2141.0,144.0,983.0
252,5/9/2020,3,Asturias,3183,2166.0,145.0,1012.0
253,5/10/2020,3,Asturias,3197,2185.0,147.0,1022.0
254,5/11/2020,3,Asturias,3212,2197.0,149.0,1026.0
255,5/12/2020,3,Asturias,3226,2212.0,150.0,1031.0
256,5/13/2020,3,Asturias,3252,2239.0,151.0,1038.0
257,5/14/2020,3,Asturias,3266,2252.0,151.0,1046.0
258,5/15/2020,3,Asturias,3295,2268.0,152.0,1053.0
259,5/16/2020,3,Asturias,3327,2290.0,152.0,1055.0
260,5/17/2020,3,Asturias,3344,2311.0,153.0,1061.0
