,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
261,2/21/2020,4,Baleares,1,,,
262,2/22/2020,4,Baleares,1,,,
263,2/23/2020,4,Baleares,1,,,
264,2/24/2020,4,Baleares,1,,,
265,2/25/2020,4,Baleares,1,,,
266,2/26/2020,4,Baleares,1,,,
267,2/27/2020,4,Baleares,1,,,
268,2/28/2020,4,Baleares,1,,,
269,2/29/2020,4,Baleares,2,,,
270,3/1/2020,4,Baleares,2,,,
271,3/2/2020,4,Baleares,2,,,
272,3/3/2020,4,Baleares,2,,,
273,3/4/2020,4,Baleares,5,,,
274,3/5/2020,4,Baleares,6,,,
275,3/6/2020,4,Baleares,6,,,
276,3/7/2020,4,Baleares,6,,,
277,3/8/2020,4,Baleares,8,,,
278,3/9/2020,4,Baleares,11,,1.0,1.0
279,3/10/2020,4,Baleares,13,,1.0,1.0
280,3/11/2020,4,Baleares,16,8.0,1.0,1.0
281,3/12/2020,4,Baleares,22,8.0,2.0,1.0
282,3/13/2020,4,Baleares,28,9.0,2.0,1.0
283,3/14/2020,4,Baleares,28,9.0,2.0,1.0
284,3/15/2020,4,Baleares,42,9.0,2.0,1.0
285,3/16/2020,4,Baleares,73,21.0,4.0,1.0
286,3/17/2020,4,Baleares,92,26.0,4.0,1.0
287,3/18/2020,4,Baleares,112,29.0,4.0,4.0
288,3/19/2020,4,Baleares,169,31.0,7.0,6.0
289,3/20/2020,4,Baleares,203,48.0,10.0,10.0
290,3/21/2020,4,Baleares,246,60.0,14.0,11.0
291,3/22/2020,4,Baleares,331,79.0,14.0,17.0
292,3/23/2020,4,Baleares,400,87.0,27.0,18.0
293,3/24/2020,4,Baleares,478,127.0,35.0,19.0
294,3/25/2020,4,Baleares,562,164.0,40.0,28.0
295,3/26/2020,4,Baleares,660,205.0,43.0,39.0
296,3/27/2020,4,Baleares,755,237.0,46.0,67.0
297,3/28/2020,4,Baleares,862,283.0,59.0,80.0
298,3/29/2020,4,Baleares,958,345.0,71.0,82.0
299,3/30/2020,4,Baleares,1000,353.0,80.0,100.0
300,3/31/2020,4,Baleares,1069,399.0,85.0,111.0
301,4/1/2020,4,Baleares,1131,467.0,94.0,170.0
302,4/2/2020,4,Baleares,1204,516.0,104.0,239.0
303,4/3/2020,4,Baleares,1257,586.0,111.0,375.0
304,4/4/2020,4,Baleares,1271,633.0,113.0,422.0
305,4/5/2020,4,Baleares,1293,663.0,119.0,461.0
306,4/6/2020,4,Baleares,1320,682.0,120.0,531.0
307,4/7/2020,4,Baleares,1369,704.0,123.0,537.0
308,4/8/2020,4,Baleares,1412,730.0,128.0,616.0
309,4/9/2020,4,Baleares,1448,750.0,131.0,696.0
310,4/10/2020,4,Baleares,1488,776.0,135.0,737.0
311,4/11/2020,4,Baleares,1507,777.0,136.0,757.0
312,4/12/2020,4,Baleares,1534,804.0,141.0,848.0
313,4/13/2020,4,Baleares,1550,810.0,142.0,862.0
314,4/14/2020,4,Baleares,1571,825.0,144.0,871.0
315,4/15/2020,4,Baleares,1605,856.0,148.0,881.0
316,4/16/2020,4,Baleares,1636,871.0,151.0,918.0
317,4/17/2020,4,Baleares,1667,904.0,151.0,938.0
318,4/18/2020,4,Baleares,1747,936.0,156.0,958.0
319,4/19/2020,4,Baleares,1772,954.0,159.0,993.0
320,4/20/2020,4,Baleares,1787,962.0,160.0,1005.0
321,4/21/2020,4,Baleares,1807,985.0,160.0,1005.0
322,4/22/2020,4,Baleares,1834,1004.0,165.0,1017.0
323,4/23/2020,4,Baleares,1859,1021.0,165.0,1047.0
324,4/24/2020,4,Baleares,1876,1039.0,165.0,1081.0
325,4/25/2020,4,Baleares,1905,1057.0,165.0,1102.0
326,4/26/2020,4,Baleares,1915,1061.0,165.0,1123.0
327,4/27/2020,4,Baleares,1920,1061.0,165.0,1136.0
328,4/28/2020,4,Baleares,1938,1073.0,165.0,1166.0
329,4/29/2020,4,Baleares,1948,1078.0,165.0,1196.0
330,4/30/2020,4,Baleares,1953,1081.0,166.0,1219.0
331,5/1/2020,4,Baleares,1968,1089.0,166.0,1245.0
332,5/2/2020,4,Baleares,1982,1093.0,166.0,1268.0
333,5/3/2020,4,Baleares,1988,1098.0,166.0,1284.0
334,5/4/2020,4,Baleares,1989,1101.0,166.0,1294.0
335,5/5/2020,4,Baleares,1995,1109.0,167.0,1307.0
336,5/6/2020,4,Baleares,2011,1121.0,167.0,1321.0
337,5/7/2020,4,Baleares,2021,1125.0,167.0,1345.0
338,5/8/2020,4,Baleares,2027,1125.0,167.0,1374.0
339,5/9/2020,4,Baleares,2040,1125.0,168.0,1395.0
340,5/10/2020,4,Baleares,2053,1125.0,168.0,1401.0
341,5/11/2020,4,Baleares,2056,1125.0,168.0,1415.0
342,5/12/2020,4,Baleares,2056,1126.0,169.0,1423.0
343,5/13/2020,4,Baleares,2061,1131.0,171.0,1465.0
344,5/14/2020,4,Baleares,2062,1131.0,171.0,1492.0
345,5/15/2020,4,Baleares,2071,1134.0,169.0,1513.0
346,5/16/2020,4,Baleares,2087,1134.0,169.0,1519.0
347,5/17/2020,4,Baleares,2096,1136.0,170.0,1523.0
