,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
870,2/21/2020,10,C. Valenciana,0,26.0,0.0,
871,2/22/2020,10,C. Valenciana,0,30.0,1.0,
872,2/23/2020,10,C. Valenciana,0,33.0,1.0,
873,2/24/2020,10,C. Valenciana,0,38.0,2.0,
874,2/25/2020,10,C. Valenciana,0,49.0,2.0,
875,2/26/2020,10,C. Valenciana,1,58.0,2.0,
876,2/27/2020,10,C. Valenciana,2,63.0,3.0,
877,2/28/2020,10,C. Valenciana,8,73.0,3.0,
878,2/29/2020,10,C. Valenciana,10,78.0,3.0,
879,3/1/2020,10,C. Valenciana,15,85.0,3.0,
880,3/2/2020,10,C. Valenciana,15,88.0,3.0,
881,3/3/2020,10,C. Valenciana,15,93.0,3.0,
882,3/4/2020,10,C. Valenciana,19,105.0,5.0,
883,3/5/2020,10,C. Valenciana,19,117.0,6.0,
884,3/6/2020,10,C. Valenciana,30,130.0,8.0,
885,3/7/2020,10,C. Valenciana,30,138.0,8.0,
886,3/8/2020,10,C. Valenciana,37,146.0,9.0,
887,3/9/2020,10,C. Valenciana,37,153.0,9.0,1.0
888,3/10/2020,10,C. Valenciana,50,171.0,10.0,1.0
889,3/11/2020,10,C. Valenciana,65,200.0,12.0,1.0
890,3/12/2020,10,C. Valenciana,76,232.0,15.0,1.0
891,3/13/2020,10,C. Valenciana,94,271.0,22.0,2.0
892,3/14/2020,10,C. Valenciana,130,307.0,29.0,2.0
893,3/15/2020,10,C. Valenciana,409,339.0,37.0,2.0
894,3/16/2020,10,C. Valenciana,409,390.0,47.0,2.0
895,3/17/2020,10,C. Valenciana,541,456.0,52.0,12.0
896,3/18/2020,10,C. Valenciana,726,530.0,65.0,16.0
897,3/19/2020,10,C. Valenciana,921,647.0,85.0,19.0
898,3/20/2020,10,C. Valenciana,1105,777.0,101.0,20.0
899,3/21/2020,10,C. Valenciana,1363,947.0,129.0,25.0
900,3/22/2020,10,C. Valenciana,1604,1136.0,152.0,30.0
901,3/23/2020,10,C. Valenciana,1901,1311.0,181.0,36.0
902,3/24/2020,10,C. Valenciana,2167,1562.0,222.0,37.0
903,3/25/2020,10,C. Valenciana,2616,1842.0,255.0,44.0
904,3/26/2020,10,C. Valenciana,3200,2097.0,289.0,57.0
905,3/27/2020,10,C. Valenciana,3532,2357.0,325.0,73.0
906,3/28/2020,10,C. Valenciana,4034,2606.0,348.0,92.0
907,3/29/2020,10,C. Valenciana,4784,2773.0,375.0,161.0
908,3/30/2020,10,C. Valenciana,5110,2914.0,393.0,185.0
909,3/31/2020,10,C. Valenciana,5508,3111.0,416.0,200.0
910,4/1/2020,10,C. Valenciana,5922,3253.0,434.0,240.0
911,4/2/2020,10,C. Valenciana,6308,3389.0,449.0,432.0
912,4/3/2020,10,C. Valenciana,6624,3492.0,460.0,592.0
913,4/4/2020,10,C. Valenciana,6901,3560.0,470.0,695.0
914,4/5/2020,10,C. Valenciana,7184,3620.0,478.0,812.0
915,4/6/2020,10,C. Valenciana,7334,3668.0,487.0,930.0
916,4/7/2020,10,C. Valenciana,7443,3698.0,492.0,1103.0
917,4/8/2020,10,C. Valenciana,7655,3713.0,496.0,1344.0
918,4/9/2020,10,C. Valenciana,7964,3815.0,541.0,1772.0
919,4/10/2020,10,C. Valenciana,8331,3987.0,561.0,2085.0
920,4/11/2020,10,C. Valenciana,8578,4132.0,565.0,2289.0
921,4/12/2020,10,C. Valenciana,8841,4149.0,567.0,2624.0
922,4/13/2020,10,C. Valenciana,9060,4269.0,576.0,2803.0
923,4/14/2020,10,C. Valenciana,9213,4397.0,581.0,3069.0
924,4/15/2020,10,C. Valenciana,9424,4465.0,588.0,3360.0
925,4/16/2020,10,C. Valenciana,9615,4524.0,625.0,3702.0
926,4/17/2020,10,C. Valenciana,9783,4605.0,632.0,4024.0
927,4/18/2020,10,C. Valenciana,10117,4708.0,636.0,4306.0
928,4/19/2020,10,C. Valenciana,10250,4781.0,643.0,4547.0
929,4/20/2020,10,C. Valenciana,10339,4827.0,646.0,4629.0
930,4/21/2020,10,C. Valenciana,10399,4866.0,648.0,4719.0
931,4/22/2020,10,C. Valenciana,10571,4896.0,649.0,5011.0
932,4/23/2020,10,C. Valenciana,10735,4917.0,650.0,5388.0
933,4/24/2020,10,C. Valenciana,10906,4945.0,651.0,5809.0
934,4/25/2020,10,C. Valenciana,11123,4978.0,653.0,6033.0
935,4/26/2020,10,C. Valenciana,11372,5013.0,654.0,6243.0
936,4/27/2020,10,C. Valenciana,11412,5032.0,656.0,6317.0
937,4/28/2020,10,C. Valenciana,11658,5046.0,659.0,6423.0
938,4/29/2020,10,C. Valenciana,11816,5072.0,662.0,6599.0
