,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
348,2/21/2020,5,Canarias,1,,,
349,2/22/2020,5,Canarias,1,,,
350,2/23/2020,5,Canarias,1,,,
351,2/24/2020,5,Canarias,1,,,
352,2/25/2020,5,Canarias,2,,,
353,2/26/2020,5,Canarias,5,,,
354,2/27/2020,5,Canarias,6,,,
355,2/28/2020,5,Canarias,6,,,
356,2/29/2020,5,Canarias,6,,,
357,3/1/2020,5,Canarias,7,,,
358,3/2/2020,5,Canarias,7,,,
359,3/3/2020,5,Canarias,7,,,
360,3/4/2020,5,Canarias,7,,,
361,3/5/2020,5,Canarias,8,,,
362,3/6/2020,5,Canarias,11,,,
363,3/7/2020,5,Canarias,11,,,
364,3/8/2020,5,Canarias,17,,,
365,3/9/2020,5,Canarias,22,,0.0,4.0
366,3/10/2020,5,Canarias,25,,1.0,5.0
367,3/11/2020,5,Canarias,37,10.0,1.0,5.0
368,3/12/2020,5,Canarias,51,15.0,3.0,5.0
369,3/13/2020,5,Canarias,70,15.0,3.0,5.0
370,3/14/2020,5,Canarias,90,15.0,6.0,7.0
371,3/15/2020,5,Canarias,109,15.0,6.0,7.0
372,3/16/2020,5,Canarias,119,40.0,9.0,7.0
373,3/17/2020,5,Canarias,148,56.0,13.0,8.0
374,3/18/2020,5,Canarias,181,73.0,17.0,8.0
375,3/19/2020,5,Canarias,220,82.0,23.0,9.0
376,3/20/2020,5,Canarias,287,115.0,25.0,9.0
377,3/21/2020,5,Canarias,348,139.0,29.0,9.0
378,3/22/2020,5,Canarias,414,150.0,32.0,9.0
379,3/23/2020,5,Canarias,481,172.0,32.0,9.0
380,3/24/2020,5,Canarias,557,207.0,36.0,9.0
381,3/25/2020,5,Canarias,657,235.0,43.0,15.0
382,3/26/2020,5,Canarias,784,279.0,45.0,18.0
383,3/27/2020,5,Canarias,878,328.0,61.0,20.0
384,3/28/2020,5,Canarias,1025,377.0,68.0,25.0
385,3/29/2020,5,Canarias,1125,425.0,78.0,30.0
386,3/30/2020,5,Canarias,1204,444.0,84.0,32.0
387,3/31/2020,5,Canarias,1262,483.0,94.0,57.0
388,4/1/2020,5,Canarias,1380,532.0,110.0,77.0
389,4/2/2020,5,Canarias,1444,566.0,113.0,94.0
390,4/3/2020,5,Canarias,1490,605.0,120.0,102.0
391,4/4/2020,5,Canarias,1564,632.0,128.0,123.0
392,4/5/2020,5,Canarias,1622,644.0,129.0,137.0
393,4/6/2020,5,Canarias,1649,651.0,133.0,157.0
394,4/7/2020,5,Canarias,1725,689.0,137.0,192.0
395,4/8/2020,5,Canarias,1762,703.0,138.0,249.0
396,4/9/2020,5,Canarias,1834,730.0,140.0,359.0
397,4/10/2020,5,Canarias,1858,738.0,141.0,386.0
398,4/11/2020,5,Canarias,1887,745.0,144.0,432.0
399,4/12/2020,5,Canarias,1918,758.0,144.0,447.0
400,4/13/2020,5,Canarias,1944,763.0,145.0,458.0
401,4/14/2020,5,Canarias,1958,771.0,147.0,589.0
402,4/15/2020,5,Canarias,1975,781.0,152.0,622.0
403,4/16/2020,5,Canarias,1988,802.0,156.0,673.0
404,4/17/2020,5,Canarias,2009,811.0,159.0,730.0
405,4/18/2020,5,Canarias,2035,822.0,160.0,785.0
406,4/19/2020,5,Canarias,2047,825.0,162.0,789.0
407,4/20/2020,5,Canarias,2067,826.0,163.0,813.0
408,4/21/2020,5,Canarias,2085,837.0,164.0,878.0
409,4/22/2020,5,Canarias,2094,841.0,164.0,927.0
410,4/23/2020,5,Canarias,2113,855.0,169.0,969.0
411,4/24/2020,5,Canarias,2140,868.0,169.0,1017.0
412,4/25/2020,5,Canarias,2155,878.0,171.0,1036.0
413,4/26/2020,5,Canarias,2167,880.0,171.0,1047.0
414,4/27/2020,5,Canarias,2178,881.0,171.0,1047.0
415,4/28/2020,5,Canarias,2187,900.0,174.0,1075.0
416,4/29/2020,5,Canarias,2202,906.0,175.0,1107.0
417,4/30/2020,5,Canarias,2205,909.0,175.0,1131.0
418,5/1/2020,5,Canarias,2206,914.0,175.0,1149.0
419,5/2/2020,5,Canarias,2212,918.0,175.0,1149.0
420,5/3/2020,5,Canarias,2221,919.0,175.0,1150.0
421,5/4/2020,5,Canarias,2225,919.0,175.0,1166.0
422,5/5/2020,5,Canarias,2231,920.0,176.0,1190.0
423,5/6/2020,5,Canarias,2231,920.0,176.0,1223.0
424,5/7/2020,5,Canarias,2235,921.0,176.0,1258.0
425,5/8/2020,5,Canarias,2240,927.0,176.0,1318.0
426,5/9/2020,5,Canarias,2250,935.0,178.0,1342.0
427,5/10/2020,5,Canarias,2258,935.0,178.0,1346.0
428,5/11/2020,5,Canarias,2260,936.0,178.0,1391.0
429,5/12/2020,5,Canarias,2268,937.0,178.0,1456.0
430,5/13/2020,5,Canarias,2271,937.0,178.0,1475.0
431,5/14/2020,5,Canarias,2275,937.0,178.0,1496.0
432,5/15/2020,5,Canarias,2280,938.0,178.0,1506.0
433,5/16/2020,5,Canarias,2284,939.0,178.0,1524.0
434,5/17/2020,5,Canarias,2289,939.0,178.0,1524.0
