,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
435,2/21/2020,6,Cantabria,0,,,
436,2/22/2020,6,Cantabria,0,,,
437,2/23/2020,6,Cantabria,0,,,
438,2/24/2020,6,Cantabria,0,,,
439,2/25/2020,6,Cantabria,0,,,
440,2/26/2020,6,Cantabria,0,,,
441,2/27/2020,6,Cantabria,0,,,
442,2/28/2020,6,Cantabria,0,,,
443,2/29/2020,6,Cantabria,0,,,
444,3/1/2020,6,Cantabria,1,,,
445,3/2/2020,6,Cantabria,10,,,
446,3/3/2020,6,Cantabria,10,,,
447,3/4/2020,6,Cantabria,10,,,
448,3/5/2020,6,Cantabria,10,,,
449,3/6/2020,6,Cantabria,10,,,
450,3/7/2020,6,Cantabria,10,,,
451,3/8/2020,6,Cantabria,12,,,
452,3/9/2020,6,Cantabria,12,,0.0,0.0
453,3/10/2020,6,Cantabria,12,,0.0,0.0
454,3/11/2020,6,Cantabria,12,0.0,0.0,0.0
455,3/12/2020,6,Cantabria,16,3.0,0.0,6.0
456,3/13/2020,6,Cantabria,29,3.0,0.0,7.0
457,3/14/2020,6,Cantabria,31,3.0,0.0,7.0
458,3/15/2020,6,Cantabria,51,3.0,0.0,10.0
459,3/16/2020,6,Cantabria,58,18.0,2.0,10.0
460,3/17/2020,6,Cantabria,58,18.0,2.0,10.0
461,3/18/2020,6,Cantabria,68,25.0,3.0,10.0
462,3/19/2020,6,Cantabria,83,40.0,4.0,10.0
463,3/20/2020,6,Cantabria,144,61.0,7.0,10.0
464,3/21/2020,6,Cantabria,215,92.0,9.0,11.0
465,3/22/2020,6,Cantabria,282,116.0,9.0,11.0
466,3/23/2020,6,Cantabria,347,157.0,14.0,11.0
467,3/24/2020,6,Cantabria,425,200.0,16.0,12.0
468,3/25/2020,6,Cantabria,510,241.0,18.0,12.0
469,3/26/2020,6,Cantabria,671,300.0,26.0,14.0
470,3/27/2020,6,Cantabria,810,355.0,29.0,19.0
471,3/28/2020,6,Cantabria,937,406.0,37.0,21.0
472,3/29/2020,6,Cantabria,1023,449.0,40.0,24.0
473,3/30/2020,6,Cantabria,1100,481.0,46.0,24.0
474,3/31/2020,6,Cantabria,1171,522.0,50.0,35.0
475,4/1/2020,6,Cantabria,1213,543.0,54.0,43.0
476,4/2/2020,6,Cantabria,1268,567.0,57.0,60.0
477,4/3/2020,6,Cantabria,1321,592.0,59.0,74.0
478,4/4/2020,6,Cantabria,1384,619.0,60.0,99.0
479,4/5/2020,6,Cantabria,1441,639.0,62.0,113.0
480,4/6/2020,6,Cantabria,1483,658.0,65.0,118.0
481,4/7/2020,6,Cantabria,1501,677.0,66.0,129.0
482,4/8/2020,6,Cantabria,1572,700.0,69.0,175.0
483,4/9/2020,6,Cantabria,1619,720.0,71.0,214.0
484,4/10/2020,6,Cantabria,1659,747.0,73.0,265.0
485,4/11/2020,6,Cantabria,1719,773.0,75.0,281.0
486,4/12/2020,6,Cantabria,1752,805.0,75.0,297.0
487,4/13/2020,6,Cantabria,1777,827.0,75.0,317.0
488,4/14/2020,6,Cantabria,1796,853.0,76.0,323.0
489,4/15/2020,6,Cantabria,1823,873.0,76.0,363.0
490,4/16/2020,6,Cantabria,1845,890.0,77.0,442.0
491,4/17/2020,6,Cantabria,1884,903.0,78.0,510.0
492,4/18/2020,6,Cantabria,1990,911.0,78.0,534.0
493,4/19/2020,6,Cantabria,2050,924.0,78.0,610.0
494,4/20/2020,6,Cantabria,2083,934.0,78.0,626.0
495,4/21/2020,6,Cantabria,2108,948.0,78.0,646.0
496,4/22/2020,6,Cantabria,2160,956.0,78.0,718.0
497,4/23/2020,6,Cantabria,2206,965.0,78.0,850.0
498,4/24/2020,6,Cantabria,2273,978.0,78.0,913.0
499,4/25/2020,6,Cantabria,2315,982.0,78.0,1046.0
500,4/26/2020,6,Cantabria,2330,991.0,78.0,1127.0
501,4/27/2020,6,Cantabria,2350,995.0,78.0,1241.0
502,4/28/2020,6,Cantabria,2386,1000.0,78.0,1290.0
503,4/29/2020,6,Cantabria,2439,1006.0,79.0,1372.0
504,4/30/2020,6,Cantabria,2505,1007.0,79.0,1483.0
505,5/1/2020,6,Cantabria,2547,1009.0,79.0,1509.0
506,5/2/2020,6,Cantabria,2577,1009.0,79.0,1551.0
507,5/3/2020,6,Cantabria,2589,1010.0,79.0,1616.0
508,5/4/2020,6,Cantabria,2596,1011.0,79.0,1620.0
509,5/5/2020,6,Cantabria,2607,1015.0,79.0,1658.0
510,5/6/2020,6,Cantabria,2626,1018.0,79.0,1696.0
511,5/7/2020,6,Cantabria,2642,1020.0,79.0,1758.0
512,5/8/2020,6,Cantabria,2665,1022.0,79.0,1786.0
513,5/9/2020,6,Cantabria,2681,1023.0,79.0,1862.0
514,5/10/2020,6,Cantabria,2684,1027.0,79.0,1933.0
515,5/11/2020,6,Cantabria,2685,1027.0,79.0,1963.0
516,5/12/2020,6,Cantabria,2691,1027.0,79.0,1981.0
517,5/13/2020,6,Cantabria,2733,1029.0,79.0,2054.0
518,5/14/2020,6,Cantabria,2739,1030.0,79.0,2110.0
519,5/15/2020,6,Cantabria,2761,1031.0,79.0,2152.0
520,5/16/2020,6,Cantabria,2770,1032.0,79.0,2195.0
521,5/17/2020,6,Cantabria,2773,1033.0,79.0,2270.0
