,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
522,2/21/2020,8,Castilla La Mancha,0,,,
523,2/22/2020,8,Castilla La Mancha,0,,,
524,2/23/2020,8,Castilla La Mancha,0,,,
525,2/24/2020,8,Castilla La Mancha,0,,,
526,2/25/2020,8,Castilla La Mancha,0,,,
527,2/26/2020,8,Castilla La Mancha,0,,,
528,2/27/2020,8,Castilla La Mancha,0,,,
529,2/28/2020,8,Castilla La Mancha,0,,,
530,2/29/2020,8,Castilla La Mancha,0,,,
531,3/1/2020,8,Castilla La Mancha,1,,,
532,3/2/2020,8,Castilla La Mancha,3,,,
533,3/3/2020,8,Castilla La Mancha,7,,,
534,3/4/2020,8,Castilla La Mancha,12,,,
535,3/5/2020,8,Castilla La Mancha,13,,,
536,3/6/2020,8,Castilla La Mancha,15,,,
537,3/7/2020,8,Castilla La Mancha,15,,,
538,3/8/2020,8,Castilla La Mancha,15,,,
539,3/9/2020,8,Castilla La Mancha,26,,2.0,2.0
540,3/10/2020,8,Castilla La Mancha,39,,3.0,2.0
541,3/11/2020,8,Castilla La Mancha,71,0.0,5.0,2.0
542,3/12/2020,8,Castilla La Mancha,115,39.0,9.0,2.0
543,3/13/2020,8,Castilla La Mancha,194,78.0,10.0,2.0
544,3/14/2020,8,Castilla La Mancha,289,78.0,10.0,5.0
545,3/15/2020,8,Castilla La Mancha,401,78.0,10.0,5.0
546,3/16/2020,8,Castilla La Mancha,567,207.0,23.0,12.0
547,3/17/2020,8,Castilla La Mancha,567,207.0,23.0,12.0
548,3/18/2020,8,Castilla La Mancha,675,277.0,29.0,15.0
549,3/19/2020,8,Castilla La Mancha,801,313.0,37.0,27.0
550,3/20/2020,8,Castilla La Mancha,1044,313.0,37.0,27.0
551,3/21/2020,8,Castilla La Mancha,1423,635.0,65.0,38.0
552,3/22/2020,8,Castilla La Mancha,1819,838.0,76.0,48.0
553,3/23/2020,8,Castilla La Mancha,2078,1547.0,142.0,51.0
554,3/24/2020,8,Castilla La Mancha,2465,1826.0,182.0,53.0
555,3/25/2020,8,Castilla La Mancha,2780,2162.0,210.0,71.0
556,3/26/2020,8,Castilla La Mancha,3383,2162.0,243.0,95.0
557,3/27/2020,8,Castilla La Mancha,3934,2707.0,273.0,153.0
558,3/28/2020,8,Castilla La Mancha,4512,2977.0,289.0,197.0
559,3/29/2020,8,Castilla La Mancha,5246,3018.0,299.0,236.0
560,3/30/2020,8,Castilla La Mancha,5858,3134.0,302.0,236.0
561,3/31/2020,8,Castilla La Mancha,6424,3225.0,344.0,252.0
562,4/1/2020,8,Castilla La Mancha,7047,3230.0,353.0,397.0
563,4/2/2020,8,Castilla La Mancha,7682,3230.0,355.0,494.0
564,4/3/2020,8,Castilla La Mancha,8523,3168.0,355.0,579.0
565,4/4/2020,8,Castilla La Mancha,9324,3133.0,360.0,657.0
566,4/5/2020,8,Castilla La Mancha,10031,2950.0,357.0,1149.0
567,4/6/2020,8,Castilla La Mancha,10602,2901.0,354.0,1259.0
568,4/7/2020,8,Castilla La Mancha,11077,2908.0,360.0,1353.0
569,4/8/2020,8,Castilla La Mancha,11788,2731.0,354.0,1557.0
570,4/9/2020,8,Castilla La Mancha,12489,2575.0,342.0,1766.0
571,4/10/2020,8,Castilla La Mancha,13063,2359.0,329.0,1982.0
572,4/11/2020,8,Castilla La Mancha,13456,2198.0,316.0,2205.0
573,4/12/2020,8,Castilla La Mancha,13698,6838.0,316.0,2365.0
574,4/13/2020,8,Castilla La Mancha,14054,7782.0,475.0,2532.0
575,4/14/2020,8,Castilla La Mancha,14329,7830.0,486.0,2943.0
576,4/15/2020,8,Castilla La Mancha,14680,7896.0,495.0,2998.0
577,4/16/2020,8,Castilla La Mancha,15151,7987.0,503.0,3378.0
578,4/17/2020,8,Castilla La Mancha,15997,8018.0,511.0,3600.0
579,4/18/2020,8,Castilla La Mancha,16349,8093.0,514.0,3838.0
580,4/19/2020,8,Castilla La Mancha,16625,8137.0,518.0,3963.0
581,4/20/2020,8,Castilla La Mancha,16796,8173.0,531.0,4178.0
582,4/21/2020,8,Castilla La Mancha,17045,8199.0,534.0,4242.0
583,4/22/2020,8,Castilla La Mancha,17321,8243.0,537.0,4337.0
584,4/23/2020,8,Castilla La Mancha,17557,8304.0,546.0,4577.0
585,4/24/2020,8,Castilla La Mancha,18053,8342.0,553.0,4782.0
586,4/25/2020,8,Castilla La Mancha,18525,8385.0,559.0,4876.0
587,4/26/2020,8,Castilla La Mancha,18995,8417.0,565.0,5196.0
588,4/27/2020,8,Castilla La Mancha,19286,8444.0,579.0,5282.0
589,4/28/2020,8,Castilla La Mancha,19518,8464.0,584.0,5306.0
590,4/29/2020,8,Castilla La Mancha,19795,8523.0,588.0,5382.0
591,4/30/2020,8,Castilla La Mancha,20071,8567.0,592.0,5512.0
592,5/1/2020,8,Castilla La Mancha,20516,8618.0,596.0,5615.0
593,5/2/2020,8,Castilla La Mancha,21023,8645.0,601.0,5702.0
594,5/3/2020,8,Castilla La Mancha,21290,8676.0,604.0,5772.0
595,5/4/2020,8,Castilla La Mancha,21511,8698.0,606.0,5794.0
596,5/5/2020,8,Castilla La Mancha,21656,8725.0,609.0,5824.0
