,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
609,2/21/2020,7,Castilla y León,0,,,
610,2/22/2020,7,Castilla y León,0,,,
611,2/23/2020,7,Castilla y León,0,,,
612,2/24/2020,7,Castilla y León,0,,,
613,2/25/2020,7,Castilla y León,0,,,
614,2/26/2020,7,Castilla y León,0,,,
615,2/27/2020,7,Castilla y León,0,,,
616,2/28/2020,7,Castilla y León,2,,,
617,2/29/2020,7,Castilla y León,2,,,
618,3/1/2020,7,Castilla y León,3,,,
619,3/2/2020,7,Castilla y León,3,,,
620,3/3/2020,7,Castilla y León,8,,,
621,3/4/2020,7,Castilla y León,11,,,
622,3/5/2020,7,Castilla y León,11,,,
623,3/6/2020,7,Castilla y León,14,,,
624,3/7/2020,7,Castilla y León,14,,,
625,3/8/2020,7,Castilla y León,22,,,
626,3/9/2020,7,Castilla y León,23,,2.0,0.0
627,3/10/2020,7,Castilla y León,56,,2.0,0.0
628,3/11/2020,7,Castilla y León,71,24.0,5.0,0.0
629,3/12/2020,7,Castilla y León,92,25.0,7.0,0.0
630,3/13/2020,7,Castilla y León,169,25.0,8.0,1.0
631,3/14/2020,7,Castilla y León,223,25.0,15.0,2.0
632,3/15/2020,7,Castilla y León,292,45.0,22.0,3.0
633,3/16/2020,7,Castilla y León,334,95.0,29.0,5.0
634,3/17/2020,7,Castilla y León,431,95.0,36.0,5.0
635,3/18/2020,7,Castilla y León,668,281.0,50.0,5.0
636,3/19/2020,7,Castilla y León,868,362.0,63.0,27.0
637,3/20/2020,7,Castilla y León,1147,476.0,75.0,37.0
638,3/21/2020,7,Castilla y León,1466,629.0,96.0,54.0
639,3/22/2020,7,Castilla y León,1744,798.0,111.0,89.0
640,3/23/2020,7,Castilla y León,2055,977.0,130.0,117.0
641,3/24/2020,7,Castilla y León,2460,1197.0,151.0,140.0
642,3/25/2020,7,Castilla y León,2940,1457.0,179.0,213.0
643,3/26/2020,7,Castilla y León,3488,1823.0,198.0,308.0
644,3/27/2020,7,Castilla y León,4132,2214.0,215.0,423.0
645,3/28/2020,7,Castilla y León,4791,2648.0,238.0,585.0
646,3/29/2020,7,Castilla y León,5414,3160.0,261.0,752.0
647,3/30/2020,7,Castilla y León,5801,3411.0,272.0,871.0
648,3/31/2020,7,Castilla y León,6211,3629.0,294.0,1028.0
649,4/1/2020,7,Castilla y León,6847,3951.0,318.0,1259.0
650,4/2/2020,7,Castilla y León,7355,4207.0,332.0,1498.0
651,4/3/2020,7,Castilla y León,7875,4472.0,342.0,1759.0
652,4/4/2020,7,Castilla y León,8332,4685.0,351.0,2021.0
653,4/5/2020,7,Castilla y León,8749,4905.0,361.0,2331.0
654,4/6/2020,7,Castilla y León,9116,5041.0,368.0,2533.0
