,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
696,2/21/2020,9,Cataluña,0,,,
697,2/22/2020,9,Cataluña,0,,,
698,2/23/2020,9,Cataluña,0,,,
699,2/24/2020,9,Cataluña,0,,,
700,2/25/2020,9,Cataluña,0,,,
701,2/26/2020,9,Cataluña,1,,,
702,2/27/2020,9,Cataluña,2,,,
703,2/28/2020,9,Cataluña,3,,,
704,2/29/2020,9,Cataluña,5,,,
705,3/1/2020,9,Cataluña,6,,,
706,3/2/2020,9,Cataluña,15,,,
707,3/3/2020,9,Cataluña,15,,,
708,3/4/2020,9,Cataluña,15,,,
709,3/5/2020,9,Cataluña,24,,,
710,3/6/2020,9,Cataluña,24,,,
711,3/7/2020,9,Cataluña,24,,,
712,3/8/2020,9,Cataluña,49,,,
713,3/9/2020,9,Cataluña,59,16.0,5.0,2.0
714,3/10/2020,9,Cataluña,82,31.0,7.0,5.0
715,3/11/2020,9,Cataluña,123,50.0,8.0,6.0
716,3/12/2020,9,Cataluña,202,74.0,16.0,12.0
717,3/13/2020,9,Cataluña,349,137.0,22.0,19.0
718,3/14/2020,9,Cataluña,558,200.0,29.0,32.0
719,3/15/2020,9,Cataluña,742,287.0,40.0,39.0
720,3/16/2020,9,Cataluña,1017,375.0,52.0,45.0
721,3/17/2020,9,Cataluña,1414,525.0,73.0,58.0
722,3/18/2020,9,Cataluña,1866,679.0,101.0,79.0
723,3/19/2020,9,Cataluña,2702,825.0,118.0,103.0
724,3/20/2020,9,Cataluña,3270,994.0,175.0,147.0
725,3/21/2020,9,Cataluña,4203,1681.0,271.0,192.0
726,3/22/2020,9,Cataluña,5046,1917.0,290.0,247.0
727,3/23/2020,9,Cataluña,5747,2158.0,308.0,402.0
728,3/24/2020,9,Cataluña,7864,3209.0,471.0,631.0
729,3/25/2020,9,Cataluña,9937,4349.0,713.0,961.0
730,3/26/2020,9,Cataluña,11592,5371.0,764.0,1008.0
731,3/27/2020,9,Cataluña,12940,6714.0,972.0,1482.0
732,3/28/2020,9,Cataluña,14263,7954.0,1036.0,1717.0
733,3/29/2020,9,Cataluña,15025,8447.0,1080.0,1966.0
734,3/30/2020,9,Cataluña,16104,9126.0,1150.0,2168.0
735,3/31/2020,9,Cataluña,18520,9925.0,1218.0,2633.0
736,4/1/2020,9,Cataluña,19991,11446.0,1345.0,3077.0
737,4/2/2020,9,Cataluña,21804,12398.0,1415.0,3683.0
738,4/3/2020,9,Cataluña,23460,13101.0,1482.0,3876.0
739,4/4/2020,9,Cataluña,24734,14251.0,1569.0,4589.0
740,4/5/2020,9,Cataluña,26032,14798.0,1653.0,5149.0
741,4/6/2020,9,Cataluña,26824,15258.0,1685.0,5374.0
742,4/7/2020,9,Cataluña,28323,15643.0,1740.0,6150.0
743,4/8/2020,9,Cataluña,29647,16235.0,1829.0,7320.0
744,4/9/2020,9,Cataluña,31043,16970.0,1946.0,8014.0
745,4/10/2020,9,Cataluña,31824,17780.0,1966.0,8705.0
746,4/11/2020,9,Cataluña,32984,18194.0,1989.0,9267.0
747,4/12/2020,9,Cataluña,34027,18772.0,2018.0,9610.0
748,4/13/2020,9,Cataluña,34726,18963.0,2084.0,10040.0
749,4/14/2020,9,Cataluña,35197,19224.0,2102.0,10387.0
750,4/15/2020,9,Cataluña,36505,20264.0,2189.0,11480.0
751,4/16/2020,9,Cataluña,37354,20553.0,2252.0,11961.0
752,4/17/2020,9,Cataluña,38316,21242.0,2305.0,12787.0
753,4/18/2020,9,Cataluña,40095,22013.0,2349.0,13275.0
754,4/19/2020,9,Cataluña,40600,22235.0,2395.0,13691.0
755,4/20/2020,9,Cataluña,42703,22375.0,2409.0,13934.0
756,4/21/2020,9,Cataluña,44139,22796.0,2437.0,14446.0
757,4/22/2020,9,Cataluña,44829,23295.0,2460.0,15089.0
758,4/23/2020,9,Cataluña,45919,23647.0,2478.0,15477.0
759,4/24/2020,9,Cataluña,46571,24130.0,2569.0,16138.0
760,4/25/2020,9,Cataluña,47288,24130.0,2576.0,16753.0
761,4/26/2020,9,Cataluña,47838,25665.0,2583.0,17006.0
762,4/27/2020,9,Cataluña,48782,25799.0,2724.0,17897.0
763,4/28/2020,9,Cataluña,49185,26230.0,2750.0,18319.0
764,4/29/2020,9,Cataluña,49681,26546.0,2768.0,19060.0
765,4/30/2020,9,Cataluña,49943,26763.0,2784.0,19615.0
766,5/1/2020,9,Cataluña,50334,26932.0,2795.0,19640.0
767,5/2/2020,9,Cataluña,50877,27049.0,2811.0,19913.0
768,5/3/2020,9,Cataluña,51261,27257.0,2844.0,20332.0
769,5/4/2020,9,Cataluña,51393,27321.0,2847.0,21898.0
770,5/5/2020,9,Cataluña,51798,27745.0,2856.0,22553.0
771,5/6/2020,9,Cataluña,52090,28085.0,2871.0,22881.0
772,5/7/2020,9,Cataluña,52505,28248.0,2891.0,23231.0
773,5/8/2020,9,Cataluña,53209,28608.0,2949.0,23664.0
774,5/9/2020,9,Cataluña,53578,28687.0,2983.0,24063.0
775,5/10/2020,9,Cataluña,53805,28784.0,2991.0,24349.0
776,5/11/2020,9,Cataluña,56450,28820.0,2995.0,24454.0
777,5/12/2020,9,Cataluña,56787,29138.0,2995.0,24966.0
778,5/13/2020,9,Cataluña,56930,29267.0,3034.0,25326.0
779,5/14/2020,9,Cataluña,56956,29305.0,3048.0,25849.0
780,5/15/2020,9,Cataluña,57205,29339.0,3049.0,25904.0
781,5/16/2020,9,Cataluña,57351,29339.0,3049.0,26067.0
782,5/17/2020,9,Cataluña,57467,29449.0,3062.0,26172.0
