,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
783,2/21/2020,18,Ceuta,0,,,
784,2/22/2020,18,Ceuta,0,,,
785,2/23/2020,18,Ceuta,0,,,
786,2/24/2020,18,Ceuta,0,,,
787,2/25/2020,18,Ceuta,0,,,
788,2/26/2020,18,Ceuta,0,,,
789,2/27/2020,18,Ceuta,0,,,
790,2/28/2020,18,Ceuta,0,,,
791,2/29/2020,18,Ceuta,0,,,
792,3/1/2020,18,Ceuta,0,,,
793,3/2/2020,18,Ceuta,0,,,
794,3/3/2020,18,Ceuta,0,,,
795,3/4/2020,18,Ceuta,0,,,
796,3/5/2020,18,Ceuta,0,,,
797,3/6/2020,18,Ceuta,0,,,
798,3/7/2020,18,Ceuta,0,,,
799,3/8/2020,18,Ceuta,0,,,
800,3/9/2020,18,Ceuta,0,,0.0,
801,3/10/2020,18,Ceuta,0,,0.0,
802,3/11/2020,18,Ceuta,0,0.0,0.0,0.0
803,3/12/2020,18,Ceuta,0,0.0,0.0,0.0
804,3/13/2020,18,Ceuta,0,0.0,0.0,0.0
805,3/14/2020,18,Ceuta,0,0.0,0.0,0.0
806,3/15/2020,18,Ceuta,1,0.0,0.0,0.0
807,3/16/2020,18,Ceuta,1,0.0,0.0,0.0
808,3/17/2020,18,Ceuta,1,0.0,0.0,0.0
809,3/18/2020,18,Ceuta,1,0.0,0.0,0.0
810,3/19/2020,18,Ceuta,1,0.0,0.0,0.0
811,3/20/2020,18,Ceuta,5,0.0,0.0,0.0
812,3/21/2020,18,Ceuta,5,0.0,0.0,0.0
813,3/22/2020,18,Ceuta,5,0.0,0.0,0.0
814,3/23/2020,18,Ceuta,6,0.0,0.0,0.0
815,3/24/2020,18,Ceuta,6,0.0,0.0,0.0
816,3/25/2020,18,Ceuta,9,2.0,1.0,0.0
817,3/26/2020,18,Ceuta,10,2.0,2.0,0.0
818,3/27/2020,18,Ceuta,17,2.0,2.0,0.0
819,3/28/2020,18,Ceuta,17,2.0,2.0,0.0
820,3/29/2020,18,Ceuta,21,2.0,2.0,0.0
821,3/30/2020,18,Ceuta,25,2.0,2.0,0.0
822,3/31/2020,18,Ceuta,34,3.0,3.0,0.0
823,4/1/2020,18,Ceuta,51,6.0,3.0,0.0
824,4/2/2020,18,Ceuta,55,7.0,3.0,0.0
825,4/3/2020,18,Ceuta,62,8.0,3.0,2.0
826,4/4/2020,18,Ceuta,73,8.0,4.0,2.0
827,4/5/2020,18,Ceuta,83,9.0,4.0,2.0
828,4/6/2020,18,Ceuta,83,9.0,4.0,2.0
829,4/7/2020,18,Ceuta,83,9.0,4.0,2.0
830,4/8/2020,18,Ceuta,84,9.0,4.0,7.0
831,4/9/2020,18,Ceuta,84,9.0,4.0,7.0
832,4/10/2020,18,Ceuta,91,9.0,4.0,12.0
833,4/11/2020,18,Ceuta,93,9.0,4.0,17.0
834,4/12/2020,18,Ceuta,93,9.0,4.0,17.0
835,4/13/2020,18,Ceuta,95,9.0,4.0,20.0
836,4/14/2020,18,Ceuta,96,9.0,4.0,22.0
837,4/15/2020,18,Ceuta,98,9.0,4.0,30.0
838,4/16/2020,18,Ceuta,100,9.0,4.0,41.0
839,4/17/2020,18,Ceuta,101,9.0,4.0,44.0
840,4/18/2020,18,Ceuta,111,9.0,4.0,53.0
841,4/19/2020,18,Ceuta,112,9.0,4.0,59.0
842,4/20/2020,18,Ceuta,114,9.0,4.0,74.0
843,4/21/2020,18,Ceuta,114,9.0,4.0,73.0
844,4/22/2020,18,Ceuta,124,9.0,4.0,76.0
845,4/23/2020,18,Ceuta,124,9.0,4.0,76.0
846,4/24/2020,18,Ceuta,125,10.0,4.0,84.0
847,4/25/2020,18,Ceuta,125,10.0,4.0,98.0
848,4/26/2020,18,Ceuta,131,10.0,4.0,104.0
849,4/27/2020,18,Ceuta,131,10.0,4.0,107.0
850,4/28/2020,18,Ceuta,134,10.0,4.0,110.0
851,4/29/2020,18,Ceuta,139,10.0,4.0,114.0
852,4/30/2020,18,Ceuta,146,10.0,4.0,126.0
853,5/1/2020,18,Ceuta,151,10.0,4.0,138.0
854,5/2/2020,18,Ceuta,152,10.0,4.0,140.0
855,5/3/2020,18,Ceuta,152,10.0,4.0,141.0
856,5/4/2020,18,Ceuta,152,10.0,4.0,142.0
857,5/5/2020,18,Ceuta,155,10.0,4.0,145.0
858,5/6/2020,18,Ceuta,164,10.0,4.0,150.0
859,5/7/2020,18,Ceuta,165,10.0,4.0,150.0
860,5/8/2020,18,Ceuta,168,11.0,4.0,154.0
861,5/9/2020,18,Ceuta,169,11.0,4.0,154.0
862,5/10/2020,18,Ceuta,169,11.0,4.0,154.0
863,5/11/2020,18,Ceuta,169,11.0,4.0,154.0
864,5/12/2020,18,Ceuta,173,11.0,4.0,154.0
865,5/13/2020,18,Ceuta,173,11.0,4.0,156.0
866,5/14/2020,18,Ceuta,175,11.0,4.0,159.0
867,5/15/2020,18,Ceuta,175,11.0,4.0,160.0
868,5/16/2020,18,Ceuta,175,11.0,4.0,163.0
869,5/17/2020,18,Ceuta,175,11.0,4.0,163.0
