,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
957,2/21/2020,11,Extremadura,0,,,
958,2/22/2020,11,Extremadura,0,,,
959,2/23/2020,11,Extremadura,0,,,
960,2/24/2020,11,Extremadura,0,,,
961,2/25/2020,11,Extremadura,0,,,
962,2/26/2020,11,Extremadura,0,,,
963,2/27/2020,11,Extremadura,0,,,
964,2/28/2020,11,Extremadura,0,,,
965,2/29/2020,11,Extremadura,0,,,
966,3/1/2020,11,Extremadura,4,,,
967,3/2/2020,11,Extremadura,6,,,
968,3/3/2020,11,Extremadura,6,,,
969,3/4/2020,11,Extremadura,6,,,
970,3/5/2020,11,Extremadura,6,,,
971,3/6/2020,11,Extremadura,6,,,
972,3/7/2020,11,Extremadura,6,,,
973,3/8/2020,11,Extremadura,6,,,
974,3/9/2020,11,Extremadura,7,,0.0,1.0
975,3/10/2020,11,Extremadura,8,,0.0,1.0
976,3/11/2020,11,Extremadura,9,2.0,1.0,1.0
977,3/12/2020,11,Extremadura,19,2.0,1.0,3.0
978,3/13/2020,11,Extremadura,39,3.0,1.0,3.0
979,3/14/2020,11,Extremadura,66,3.0,1.0,4.0
980,3/15/2020,11,Extremadura,95,8.0,1.0,4.0
981,3/16/2020,11,Extremadura,111,9.0,1.0,4.0
982,3/17/2020,11,Extremadura,153,18.0,2.0,5.0
983,3/18/2020,11,Extremadura,194,27.0,3.0,6.0
984,3/19/2020,11,Extremadura,241,36.0,3.0,6.0
985,3/20/2020,11,Extremadura,297,44.0,4.0,7.0
986,3/21/2020,11,Extremadura,354,65.0,6.0,8.0
987,3/22/2020,11,Extremadura,384,87.0,8.0,8.0
988,3/23/2020,11,Extremadura,493,131.0,13.0,8.0
989,3/24/2020,11,Extremadura,636,161.0,20.0,8.0
990,3/25/2020,11,Extremadura,742,209.0,28.0,8.0
991,3/26/2020,11,Extremadura,969,241.0,34.0,24.0
992,3/27/2020,11,Extremadura,1231,277.0,41.0,33.0
993,3/28/2020,11,Extremadura,1394,312.0,40.0,49.0
994,3/29/2020,11,Extremadura,1456,313.0,41.0,51.0
995,3/30/2020,11,Extremadura,1560,353.0,43.0,60.0
996,3/31/2020,11,Extremadura,1628,371.0,51.0,91.0
997,4/1/2020,11,Extremadura,1679,372.0,58.0,113.0
998,4/2/2020,11,Extremadura,1837,412.0,62.0,139.0
999,4/3/2020,11,Extremadura,1893,415.0,64.0,164.0
1000,4/4/2020,11,Extremadura,1979,453.0,64.0,205.0
1001,4/5/2020,11,Extremadura,2047,417.0,66.0,215.0
1002,4/6/2020,11,Extremadura,2068,453.0,66.0,223.0
1003,4/7/2020,11,Extremadura,2116,686.0,70.0,282.0
1004,4/8/2020,11,Extremadura,2184,898.0,98.0,328.0
1005,4/9/2020,11,Extremadura,2273,958.0,99.0,381.0
1006,4/10/2020,11,Extremadura,2332,1003.0,101.0,397.0
1007,4/11/2020,11,Extremadura,2486,1052.0,104.0,462.0
1008,4/12/2020,11,Extremadura,2580,1074.0,106.0,481.0
1009,4/13/2020,11,Extremadura,2658,1096.0,107.0,511.0
1010,4/14/2020,11,Extremadura,2684,1114.0,107.0,578.0
1011,4/15/2020,11,Extremadura,2762,1155.0,107.0,615.0
1012,4/16/2020,11,Extremadura,2881,1186.0,107.0,649.0
1013,4/17/2020,11,Extremadura,3019,1212.0,107.0,707.0
1014,4/18/2020,11,Extremadura,3131,1240.0,107.0,736.0
1015,4/19/2020,11,Extremadura,3192,1278.0,107.0,767.0
1016,4/20/2020,11,Extremadura,3243,1306.0,107.0,858.0
1017,4/21/2020,11,Extremadura,3243,1327.0,107.0,921.0
1018,4/22/2020,11,Extremadura,3243,1349.0,107.0,1051.0
1019,4/23/2020,11,Extremadura,3366,1375.0,107.0,1237.0
1020,4/24/2020,11,Extremadura,3403,1413.0,107.0,1358.0
1021,4/25/2020,11,Extremadura,3458,1447.0,107.0,1510.0
1022,4/26/2020,11,Extremadura,3465,1480.0,107.0,1582.0
1023,4/27/2020,11,Extremadura,3480,1490.0,107.0,1652.0
1024,4/28/2020,11,Extremadura,3487,1505.0,107.0,1733.0
1025,4/29/2020,11,Extremadura,3513,1526.0,107.0,1797.0
1026,4/30/2020,11,Extremadura,3538,1550.0,108.0,1887.0
1027,5/1/2020,11,Extremadura,3630,1565.0,108.0,1960.0
1028,5/2/2020,11,Extremadura,3690,1592.0,108.0,2017.0
1029,5/3/2020,11,Extremadura,3712,1603.0,108.0,2072.0
1030,5/4/2020,11,Extremadura,3722,1618.0,108.0,2090.0
1031,5/5/2020,11,Extremadura,3728,1629.0,108.0,2146.0
1032,5/6/2020,11,Extremadura,3746,1650.0,108.0,2189.0
1033,5/7/2020,11,Extremadura,3808,1664.0,108.0,2265.0
1034,5/8/2020,11,Extremadura,3853,1678.0,109.0,2312.0
1035,5/9/2020,11,Extremadura,3886,1695.0,109.0,2354.0
1036,5/10/2020,11,Extremadura,3903,1711.0,109.0,2369.0
1037,5/11/2020,11,Extremadura,3919,1725.0,109.0,2409.0
1038,5/12/2020,11,Extremadura,3920,1737.0,109.0,2422.0
1039,5/13/2020,11,Extremadura,3920,1754.0,109.0,2456.0
1040,5/14/2020,11,Extremadura,3924,1761.0,109.0,2482.0
1041,5/15/2020,11,Extremadura,3934,1772.0,109.0,2587.0
1042,5/16/2020,11,Extremadura,3945,1772.0,109.0,2609.0
1043,5/17/2020,11,Extremadura,3948,1775.0,110.0,2636.0
