,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
1044,2/21/2020,12,Galicia,0,,,
1045,2/22/2020,12,Galicia,0,,,
1046,2/23/2020,12,Galicia,0,,,
1047,2/24/2020,12,Galicia,0,,,
1048,2/25/2020,12,Galicia,0,,,
1049,2/26/2020,12,Galicia,0,,,
1050,2/27/2020,12,Galicia,0,,,
1051,2/28/2020,12,Galicia,0,,,
1052,2/29/2020,12,Galicia,0,,,
1053,3/1/2020,12,Galicia,0,,,
1054,3/2/2020,12,Galicia,0,,,
1055,3/3/2020,12,Galicia,0,,,
1056,3/4/2020,12,Galicia,1,,,
1057,3/5/2020,12,Galicia,1,,,
1058,3/6/2020,12,Galicia,3,,,
1059,3/7/2020,12,Galicia,3,,,
1060,3/8/2020,12,Galicia,5,,,
1061,3/9/2020,12,Galicia,6,,2.0,0.0
1062,3/10/2020,12,Galicia,22,,2.0,0.0
1063,3/11/2020,12,Galicia,35,7.0,2.0,0.0
1064,3/12/2020,12,Galicia,35,7.0,2.0,0.0
1065,3/13/2020,12,Galicia,85,15.0,6.0,0.0
1066,3/14/2020,12,Galicia,115,32.0,6.0,3.0
1067,3/15/2020,12,Galicia,195,32.0,6.0,4.0
1068,3/16/2020,12,Galicia,245,49.0,8.0,4.0
1069,3/17/2020,12,Galicia,292,49.0,12.0,4.0
1070,3/18/2020,12,Galicia,341,63.0,17.0,4.0
1071,3/19/2020,12,Galicia,453,100.0,24.0,4.0
1072,3/20/2020,12,Galicia,578,138.0,34.0,5.0
1073,3/21/2020,12,Galicia,739,168.0,40.0,6.0
1074,3/22/2020,12,Galicia,915,227.0,50.0,16.0
1075,3/23/2020,12,Galicia,1208,270.0,62.0,19.0
1076,3/24/2020,12,Galicia,1415,338.0,78.0,19.0
1077,3/25/2020,12,Galicia,1653,412.0,100.0,25.0
1078,3/26/2020,12,Galicia,1915,503.0,107.0,47.0
1079,3/27/2020,12,Galicia,2322,557.0,122.0,67.0
1080,3/28/2020,12,Galicia,2772,906.0,141.0,95.0
1081,3/29/2020,12,Galicia,3139,1043.0,159.0,153.0
1082,3/30/2020,12,Galicia,3723,1147.0,176.0,168.0
1083,3/31/2020,12,Galicia,4039,1250.0,189.0,187.0
1084,4/1/2020,12,Galicia,4432,1338.0,203.0,259.0
1085,4/2/2020,12,Galicia,4842,1447.0,212.0,333.0
1086,4/3/2020,12,Galicia,5219,1630.0,219.0,435.0
1087,4/4/2020,12,Galicia,5625,1767.0,229.0,531.0
1088,4/5/2020,12,Galicia,5944,1831.0,237.0,587.0
1089,4/6/2020,12,Galicia,6151,1916.0,245.0,610.0
1090,4/7/2020,12,Galicia,6331,1968.0,253.0,688.0
1091,4/8/2020,12,Galicia,6538,2014.0,256.0,800.0
1092,4/9/2020,12,Galicia,6758,2094.0,260.0,910.0
1093,4/10/2020,12,Galicia,6946,2165.0,263.0,997.0
1094,4/11/2020,12,Galicia,7176,2215.0,264.0,1082.0
1095,4/12/2020,12,Galicia,7336,2306.0,267.0,1143.0
1096,4/13/2020,12,Galicia,7494,2344.0,275.0,1186.0
1097,4/14/2020,12,Galicia,7597,2403.0,280.0,1240.0
1098,4/15/2020,12,Galicia,7708,2471.0,282.0,1298.0
1099,4/16/2020,12,Galicia,7873,2494.0,282.0,1383.0
1100,4/17/2020,12,Galicia,8013,2535.0,290.0,1456.0
1101,4/18/2020,12,Galicia,8084,2554.0,291.0,1507.0
1102,4/19/2020,12,Galicia,8185,2590.0,294.0,1536.0
1103,4/20/2020,12,Galicia,8299,2609.0,296.0,1548.0
1104,4/21/2020,12,Galicia,8468,2652.0,296.0,1588.0
1105,4/22/2020,12,Galicia,8634,2674.0,297.0,1625.0
1106,4/23/2020,12,Galicia,8805,2694.0,298.0,1676.0
1107,4/24/2020,12,Galicia,8932,2707.0,301.0,1730.0
1108,4/25/2020,12,Galicia,9116,2717.0,302.0,1783.0
1109,4/26/2020,12,Galicia,9176,2724.0,303.0,1803.0
1110,4/27/2020,12,Galicia,9238,2728.0,304.0,1816.0
1111,4/28/2020,12,Galicia,9328,2734.0,305.0,1841.0
1112,4/29/2020,12,Galicia,9484,2736.0,308.0,5393.0
1113,4/30/2020,12,Galicia,9579,2747.0,310.0,5573.0
1114,5/1/2020,12,Galicia,9617,2759.0,313.0,5816.0
1115,5/2/2020,12,Galicia,9652,2769.0,313.0,5981.0
1116,5/3/2020,12,Galicia,9685,2774.0,315.0,6075.0
1117,5/4/2020,12,Galicia,9707,2782.0,315.0,6234.0
1118,5/5/2020,12,Galicia,9783,2792.0,317.0,6561.0
1119,5/6/2020,12,Galicia,9996,2811.0,319.0,6802.0
1120,5/7/2020,12,Galicia,10077,2833.0,320.0,6959.0
1121,5/8/2020,12,Galicia,10221,2852.0,321.0,7138.0
1122,5/9/2020,12,Galicia,10322,2876.0,323.0,7225.0
1123,5/10/2020,12,Galicia,10370,2886.0,325.0,7347.0
1124,5/11/2020,12,Galicia,10388,2902.0,326.0,7444.0
1125,5/12/2020,12,Galicia,10449,2905.0,326.0,7820.0
1126,5/13/2020,12,Galicia,10495,2909.0,327.0,7996.0
1127,5/14/2020,12,Galicia,10545,2915.0,327.0,8157.0
1128,5/15/2020,12,Galicia,10605,2921.0,332.0,8283.0
1129,5/16/2020,12,Galicia,10934,2923.0,332.0,8820.0
1130,5/17/2020,12,Galicia,10960,2926.0,332.0,9155.0
