,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
1566,2/21/2020,17,La Rioja,0,,,
1567,2/22/2020,17,La Rioja,0,,,
1568,2/23/2020,17,La Rioja,0,,,
1569,2/24/2020,17,La Rioja,0,,,
1570,2/25/2020,17,La Rioja,0,,,
1571,2/26/2020,17,La Rioja,0,,,
1572,2/27/2020,17,La Rioja,0,,,
1573,2/28/2020,17,La Rioja,0,,,
1574,2/29/2020,17,La Rioja,0,,,
1575,3/1/2020,17,La Rioja,0,,,
1576,3/2/2020,17,La Rioja,1,,,
1577,3/3/2020,17,La Rioja,2,,,
1578,3/4/2020,17,La Rioja,7,,,
1579,3/5/2020,17,La Rioja,17,,,
1580,3/6/2020,17,La Rioja,29,,,
1581,3/7/2020,17,La Rioja,47,,,
1582,3/8/2020,17,La Rioja,70,,,
1583,3/9/2020,17,La Rioja,102,,1.0,0.0
1584,3/10/2020,17,La Rioja,155,,1.0,0.0
1585,3/11/2020,17,La Rioja,185,13.0,1.0,1.0
1586,3/12/2020,17,La Rioja,220,21.0,1.0,1.0
1587,3/13/2020,17,La Rioja,259,27.0,2.0,1.0
1588,3/14/2020,17,La Rioja,292,38.0,2.0,1.0
1589,3/15/2020,17,La Rioja,300,58.0,7.0,1.0
1590,3/16/2020,17,La Rioja,312,64.0,13.0,2.0
1591,3/17/2020,17,La Rioja,355,82.0,13.0,2.0
1592,3/18/2020,17,La Rioja,419,99.0,13.0,2.0
1593,3/19/2020,17,La Rioja,468,121.0,15.0,2.0
1594,3/20/2020,17,La Rioja,497,122.0,15.0,13.0
1595,3/21/2020,17,La Rioja,564,128.0,17.0,18.0
1596,3/22/2020,17,La Rioja,654,134.0,17.0,18.0
1597,3/23/2020,17,La Rioja,747,166.0,22.0,18.0
1598,3/24/2020,17,La Rioja,802,206.0,24.0,24.0
1599,3/25/2020,17,La Rioja,928,254.0,33.0,43.0
1600,3/26/2020,17,La Rioja,995,316.0,36.0,48.0
1601,3/27/2020,17,La Rioja,1236,388.0,43.0,62.0
1602,3/28/2020,17,La Rioja,1436,458.0,43.0,364.0
1603,3/29/2020,17,La Rioja,1629,497.0,43.0,397.0
1604,3/30/2020,17,La Rioja,1733,517.0,43.0,431.0
1605,3/31/2020,17,La Rioja,1810,575.0,51.0,496.0
1606,4/1/2020,17,La Rioja,1960,619.0,54.0,569.0
1607,4/2/2020,17,La Rioja,2083,660.0,57.0,641.0
1608,4/3/2020,17,La Rioja,2224,738.0,64.0,745.0
1609,4/4/2020,17,La Rioja,2405,805.0,64.0,843.0
1610,4/5/2020,17,La Rioja,2592,855.0,66.0,904.0
1611,4/6/2020,17,La Rioja,2719,888.0,66.0,964.0
1612,4/7/2020,17,La Rioja,2846,918.0,66.0,994.0
1613,4/8/2020,17,La Rioja,2951,955.0,68.0,1061.0
1614,4/9/2020,17,La Rioja,3026,997.0,69.0,1172.0
1615,4/10/2020,17,La Rioja,3076,1047.0,71.0,1256.0
1616,4/11/2020,17,La Rioja,3496,1082.0,73.0,1337.0
1617,4/12/2020,17,La Rioja,3596,1122.0,73.0,1420.0
1618,4/13/2020,17,La Rioja,3675,1141.0,73.0,1458.0
1619,4/14/2020,17,La Rioja,3749,1152.0,74.0,1519.0
1620,4/15/2020,17,La Rioja,3831,1182.0,75.0,1582.0
1621,4/16/2020,17,La Rioja,3916,1207.0,75.0,1654.0
1622,4/17/2020,17,La Rioja,4098,1226.0,76.0,1729.0
1623,4/18/2020,17,La Rioja,4250,1249.0,78.0,1777.0
1624,4/19/2020,17,La Rioja,4330,1268.0,79.0,1816.0
1625,4/20/2020,17,La Rioja,4371,1282.0,79.0,1833.0
1626,4/21/2020,17,La Rioja,4483,1297.0,81.0,1866.0
1627,4/22/2020,17,La Rioja,4586,1318.0,81.0,1899.0
1628,4/23/2020,17,La Rioja,4727,1331.0,82.0,1937.0
1629,4/24/2020,17,La Rioja,4865,1344.0,82.0,1964.0
1630,4/25/2020,17,La Rioja,4946,1360.0,83.0,1999.0
1631,4/26/2020,17,La Rioja,4998,1380.0,84.0,2037.0
1632,4/27/2020,17,La Rioja,5041,1392.0,85.0,2049.0
1633,4/28/2020,17,La Rioja,5097,1400.0,87.0,2064.0
1634,4/29/2020,17,La Rioja,5173,1413.0,87.0,2091.0
1635,4/30/2020,17,La Rioja,5206,1424.0,88.0,2159.0
1636,5/1/2020,17,La Rioja,5226,1433.0,88.0,2220.0
1637,5/2/2020,17,La Rioja,5239,1439.0,88.0,2279.0
1638,5/3/2020,17,La Rioja,5247,1446.0,88.0,2297.0
1639,5/4/2020,17,La Rioja,5258,1449.0,88.0,2312.0
1640,5/5/2020,17,La Rioja,5270,1452.0,90.0,2345.0
1641,5/6/2020,17,La Rioja,5322,1458.0,91.0,2396.0
1642,5/7/2020,17,La Rioja,5330,1463.0,91.0,2457.0
1643,5/8/2020,17,La Rioja,5355,1469.0,91.0,2526.0
1644,5/9/2020,17,La Rioja,5365,1473.0,91.0,2581.0
1645,5/10/2020,17,La Rioja,5378,1474.0,91.0,2648.0
1646,5/11/2020,17,La Rioja,5382,1475.0,91.0,2700.0
1647,5/12/2020,17,La Rioja,5392,1478.0,91.0,2749.0
1648,5/13/2020,17,La Rioja,5397,1481.0,91.0,2804.0
1649,5/14/2020,17,La Rioja,5405,1484.0,91.0,2867.0
1650,5/15/2020,17,La Rioja,5409,1488.0,91.0,2927.0
1651,5/16/2020,17,La Rioja,5413,1490.0,91.0,2990.0
1652,5/17/2020,17,La Rioja,5417,1496.0,91.0,3048.0
