,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
1131,2/21/2020,13,Madrid,1,,,
1132,2/22/2020,13,Madrid,1,,,
1133,2/23/2020,13,Madrid,1,,,
1134,2/24/2020,13,Madrid,1,,,
1135,2/25/2020,13,Madrid,1,,,
1136,2/26/2020,13,Madrid,2,,,
1137,2/27/2020,13,Madrid,6,,,
1138,2/28/2020,13,Madrid,10,,,
1139,2/29/2020,13,Madrid,20,,,
1140,3/1/2020,13,Madrid,27,,,
1141,3/2/2020,13,Madrid,53,,,
1142,3/3/2020,13,Madrid,96,,,
1143,3/4/2020,13,Madrid,142,,,
1144,3/5/2020,13,Madrid,200,,,
1145,3/6/2020,13,Madrid,312,,,
1146,3/7/2020,13,Madrid,516,,,
1147,3/8/2020,13,Madrid,739,,,
1148,3/9/2020,13,Madrid,1004,,53.0,
1149,3/10/2020,13,Madrid,1509,,77.0,109.0
1150,3/11/2020,13,Madrid,2214,0.0,102.0,157.0
1151,3/12/2020,13,Madrid,2944,0.0,135.0,157.0
1152,3/13/2020,13,Madrid,3731,1304.0,180.0,157.0
1153,3/14/2020,13,Madrid,4671,1518.0,180.0,474.0
1154,3/15/2020,13,Madrid,5574,2337.0,253.0,474.0
1155,3/16/2020,13,Madrid,6389,2337.0,253.0,474.0
1156,3/17/2020,13,Madrid,7648,3710.0,340.0,770.0
1157,3/18/2020,13,Madrid,9596,3778.0,491.0,770.0
1158,3/19/2020,13,Madrid,11350,5168.0,590.0,941.0
1159,3/20/2020,13,Madrid,13393,6338.0,678.0,1186.0
1160,3/21/2020,13,Madrid,15715,7388.0,767.0,1542.0
1161,3/22/2020,13,Madrid,17389,8441.0,834.0,1899.0
1162,3/23/2020,13,Madrid,18892,9561.0,942.0,2063.0
1163,3/24/2020,13,Madrid,21562,10443.0,1050.0,2291.0
1164,3/25/2020,13,Madrid,24465,11153.0,1150.0,3031.0
1165,3/26/2020,13,Madrid,27410,12440.0,1221.0,3882.0
1166,3/27/2020,13,Madrid,30783,13580.0,1312.0,5044.0
1167,3/28/2020,13,Madrid,33149,14211.0,1404.0,6326.0
1168,3/29/2020,13,Madrid,34174,14454.0,1429.0,7491.0
1169,3/30/2020,13,Madrid,35046,14917.0,1460.0,8301.0
1170,3/31/2020,13,Madrid,37592,15140.0,1514.0,9330.0
1171,4/1/2020,13,Madrid,39392,15227.0,1514.0,10827.0
1172,4/2/2020,13,Madrid,41179,15227.0,1528.0,12400.0
1173,4/3/2020,13,Madrid,43015,15050.0,1506.0,13850.0
1174,4/4/2020,13,Madrid,44756,14741.0,1498.0,15362.0
1175,4/5/2020,13,Madrid,45647,14551.0,1499.0,16543.0
1176,4/6/2020,13,Madrid,46173,14501.0,1510.0,17322.0
1177,4/7/2020,13,Madrid,47736,13950.0,1494.0,18410.0
1178,4/8/2020,13,Madrid,49126,13289.0,1450.0,19836.0
1179,4/9/2020,13,Madrid,50542,12853.0,1433.0,21121.0
1180,4/10/2020,13,Madrid,51491,12432.0,1399.0,22414.0
1181,4/11/2020,13,Madrid,52353,11894.0,1376.0,23663.0
1182,4/12/2020,13,Madrid,52894,11424.0,1332.0,24683.0
1183,4/13/2020,13,Madrid,53235,11233.0,1327.0,25385.0
