,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
1218,2/21/2020,19,Melilla,0,,,
1219,2/22/2020,19,Melilla,0,,,
1220,2/23/2020,19,Melilla,0,,,
1221,2/24/2020,19,Melilla,0,,,
1222,2/25/2020,19,Melilla,0,,,
1223,2/26/2020,19,Melilla,0,,,
1224,2/27/2020,19,Melilla,0,,,
1225,2/28/2020,19,Melilla,0,,,
1226,2/29/2020,19,Melilla,0,,,
1227,3/1/2020,19,Melilla,0,,,
1228,3/2/2020,19,Melilla,0,,,
1229,3/3/2020,19,Melilla,0,,,
1230,3/4/2020,19,Melilla,0,,,
1231,3/5/2020,19,Melilla,0,,,
1232,3/6/2020,19,Melilla,0,,,
1233,3/7/2020,19,Melilla,0,,,
1234,3/8/2020,19,Melilla,0,,,
1235,3/9/2020,19,Melilla,0,,0.0,
1236,3/10/2020,19,Melilla,0,,0.0,
1237,3/11/2020,19,Melilla,0,0.0,0.0,0.0
1238,3/12/2020,19,Melilla,0,0.0,0.0,0.0
1239,3/13/2020,19,Melilla,2,3.0,0.0,0.0
1240,3/14/2020,19,Melilla,3,3.0,0.0,0.0
1241,3/15/2020,19,Melilla,8,4.0,0.0,0.0
1242,3/16/2020,19,Melilla,8,4.0,0.0,0.0
1243,3/17/2020,19,Melilla,17,4.0,0.0,0.0
1244,3/18/2020,19,Melilla,20,4.0,0.0,0.0
1245,3/19/2020,19,Melilla,23,4.0,0.0,0.0
1246,3/20/2020,19,Melilla,24,5.0,1.0,0.0
1247,3/21/2020,19,Melilla,25,8.0,1.0,0.0
1248,3/22/2020,19,Melilla,25,12.0,1.0,0.0
1249,3/23/2020,19,Melilla,28,12.0,1.0,0.0
1250,3/24/2020,19,Melilla,28,12.0,1.0,0.0
1251,3/25/2020,19,Melilla,38,14.0,2.0,0.0
1252,3/26/2020,19,Melilla,39,16.0,2.0,0.0
1253,3/27/2020,19,Melilla,42,18.0,2.0,0.0
1254,3/28/2020,19,Melilla,45,22.0,2.0,0.0
1255,3/29/2020,19,Melilla,48,24.0,2.0,0.0
1256,3/30/2020,19,Melilla,51,27.0,3.0,0.0
1257,3/31/2020,19,Melilla,54,27.0,3.0,0.0
1258,4/1/2020,19,Melilla,62,32.0,3.0,0.0
1259,4/2/2020,19,Melilla,62,32.0,3.0,0.0
1260,4/3/2020,19,Melilla,70,34.0,3.0,4.0
1261,4/4/2020,19,Melilla,79,37.0,3.0,9.0
1262,4/5/2020,19,Melilla,83,38.0,3.0,11.0
1263,4/6/2020,19,Melilla,86,38.0,3.0,11.0
1264,4/7/2020,19,Melilla,92,40.0,3.0,11.0
1265,4/8/2020,19,Melilla,93,40.0,3.0,12.0
1266,4/9/2020,19,Melilla,93,40.0,3.0,16.0
1267,4/10/2020,19,Melilla,95,41.0,3.0,17.0
1268,4/11/2020,19,Melilla,98,43.0,3.0,18.0
1269,4/12/2020,19,Melilla,98,43.0,3.0,18.0
1270,4/13/2020,19,Melilla,101,43.0,3.0,18.0
1271,4/14/2020,19,Melilla,101,43.0,3.0,18.0
1272,4/15/2020,19,Melilla,102,43.0,3.0,24.0
1273,4/16/2020,19,Melilla,103,43.0,3.0,27.0
1274,4/17/2020,19,Melilla,104,44.0,3.0,30.0
1275,4/18/2020,19,Melilla,104,44.0,3.0,30.0
1276,4/19/2020,19,Melilla,107,44.0,3.0,44.0
1277,4/20/2020,19,Melilla,109,44.0,3.0,46.0
1278,4/21/2020,19,Melilla,110,44.0,3.0,46.0
1279,4/22/2020,19,Melilla,111,44.0,3.0,50.0
1280,4/23/2020,19,Melilla,113,44.0,3.0,55.0
1281,4/24/2020,19,Melilla,116,44.0,3.0,61.0
1282,4/25/2020,19,Melilla,118,44.0,3.0,77.0
1283,4/26/2020,19,Melilla,121,44.0,3.0,81.0
1284,4/27/2020,19,Melilla,121,44.0,3.0,87.0
1285,4/28/2020,19,Melilla,125,44.0,3.0,92.0
1286,4/29/2020,19,Melilla,125,44.0,3.0,95.0
1287,4/30/2020,19,Melilla,125,44.0,3.0,96.0
1288,5/1/2020,19,Melilla,126,44.0,3.0,96.0
1289,5/2/2020,19,Melilla,126,44.0,3.0,96.0
1290,5/3/2020,19,Melilla,129,44.0,3.0,98.0
1291,5/4/2020,19,Melilla,131,44.0,3.0,101.0
1292,5/5/2020,19,Melilla,131,44.0,3.0,101.0
1293,5/6/2020,19,Melilla,131,44.0,3.0,104.0
1294,5/7/2020,19,Melilla,132,44.0,3.0,108.0
1295,5/8/2020,19,Melilla,132,44.0,3.0,108.0
1296,5/9/2020,19,Melilla,132,44.0,3.0,108.0
1297,5/10/2020,19,Melilla,132,44.0,3.0,111.0
1298,5/11/2020,19,Melilla,132,44.0,3.0,113.0
1299,5/12/2020,19,Melilla,132,44.0,3.0,115.0
1300,5/13/2020,19,Melilla,132,44.0,3.0,115.0
1301,5/14/2020,19,Melilla,132,44.0,3.0,119.0
1302,5/15/2020,19,Melilla,132,44.0,3.0,119.0
1303,5/16/2020,19,Melilla,132,44.0,3.0,122.0
1304,5/17/2020,19,Melilla,134,44.0,3.0,124.0
