,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
1392,2/21/2020,15,Navarra,0,,,
1393,2/22/2020,15,Navarra,0,,,
1394,2/23/2020,15,Navarra,0,,,
1395,2/24/2020,15,Navarra,0,,,
1396,2/25/2020,15,Navarra,0,,,
1397,2/26/2020,15,Navarra,0,,,
1398,2/27/2020,15,Navarra,0,,,
1399,2/28/2020,15,Navarra,0,,,
1400,2/29/2020,15,Navarra,0,,,
1401,3/1/2020,15,Navarra,1,,,
1402,3/2/2020,15,Navarra,1,,,
1403,3/3/2020,15,Navarra,1,,,
1404,3/4/2020,15,Navarra,3,,,
1405,3/5/2020,15,Navarra,3,,,
1406,3/6/2020,15,Navarra,3,,,
1407,3/7/2020,15,Navarra,3,,,
1408,3/8/2020,15,Navarra,3,,,
1409,3/9/2020,15,Navarra,3,,1.0,0.0
1410,3/10/2020,15,Navarra,12,,2.0,0.0
1411,3/11/2020,15,Navarra,46,10.0,3.0,0.0
1412,3/12/2020,15,Navarra,73,17.0,3.0,0.0
1413,3/13/2020,15,Navarra,130,28.0,4.0,0.0
1414,3/14/2020,15,Navarra,146,28.0,4.0,0.0
1415,3/15/2020,15,Navarra,183,34.0,4.0,0.0
1416,3/16/2020,15,Navarra,274,58.0,5.0,0.0
1417,3/17/2020,15,Navarra,313,72.0,10.0,0.0
1418,3/18/2020,15,Navarra,386,93.0,10.0,0.0
1419,3/19/2020,15,Navarra,482,132.0,11.0,0.0
1420,3/20/2020,15,Navarra,554,172.0,19.0,1.0
1421,3/21/2020,15,Navarra,664,222.0,25.0,1.0
1422,3/22/2020,15,Navarra,794,288.0,30.0,4.0
1423,3/23/2020,15,Navarra,886,339.0,40.0,7.0
1424,3/24/2020,15,Navarra,1014,405.0,45.0,11.0
1425,3/25/2020,15,Navarra,1197,506.0,51.0,23.0
1426,3/26/2020,15,Navarra,1411,649.0,54.0,35.0
1427,3/27/2020,15,Navarra,1641,732.0,75.0,70.0
1428,3/28/2020,15,Navarra,1829,827.0,84.0,98.0
1429,3/29/2020,15,Navarra,2011,896.0,90.0,125.0
1430,3/30/2020,15,Navarra,2146,955.0,96.0,161.0
1431,3/31/2020,15,Navarra,2305,1035.0,99.0,192.0
1432,4/1/2020,15,Navarra,2497,1120.0,104.0,236.0
1433,4/2/2020,15,Navarra,2682,1181.0,108.0,278.0
1434,4/3/2020,15,Navarra,2836,1284.0,119.0,294.0
1435,4/4/2020,15,Navarra,2972,1341.0,120.0,311.0
1436,4/5/2020,15,Navarra,3073,1399.0,123.0,334.0
1437,4/6/2020,15,Navarra,3231,1432.0,124.0,380.0
1438,4/7/2020,15,Navarra,3355,1488.0,124.0,421.0
1439,4/8/2020,15,Navarra,3467,1526.0,124.0,450.0
1440,4/9/2020,15,Navarra,3575,1526.0,124.0,462.0
1441,4/10/2020,15,Navarra,3748,1620.0,124.0,560.0
1442,4/11/2020,15,Navarra,3817,1641.0,124.0,603.0
1443,4/12/2020,15,Navarra,3969,1663.0,124.0,650.0
1444,4/13/2020,15,Navarra,4092,1693.0,124.0,695.0
1445,4/14/2020,15,Navarra,4150,1705.0,124.0,730.0
1446,4/15/2020,15,Navarra,4246,1731.0,124.0,808.0
1447,4/16/2020,15,Navarra,4348,1752.0,124.0,845.0
1448,4/17/2020,15,Navarra,4433,1781.0,124.0,892.0
1449,4/18/2020,15,Navarra,4579,1829.0,127.0,954.0
1450,4/19/2020,15,Navarra,4656,1843.0,127.0,992.0
1451,4/20/2020,15,Navarra,4735,1856.0,128.0,1123.0
1452,4/21/2020,15,Navarra,4831,1877.0,128.0,1190.0
1453,4/22/2020,15,Navarra,4958,1894.0,128.0,1316.0
1454,4/23/2020,15,Navarra,5063,1907.0,129.0,1445.0
1455,4/24/2020,15,Navarra,5180,1915.0,129.0,1552.0
1456,4/25/2020,15,Navarra,5274,1937.0,129.0,1737.0
1457,4/26/2020,15,Navarra,5452,1942.0,129.0,1835.0
1458,4/27/2020,15,Navarra,5486,1942.0,130.0,1918.0
1459,4/28/2020,15,Navarra,5630,1945.0,130.0,1978.0
1460,4/29/2020,15,Navarra,5884,1951.0,130.0,2082.0
1461,4/30/2020,15,Navarra,6140,1965.0,132.0,2113.0
1462,5/1/2020,15,Navarra,6337,1977.0,132.0,2185.0
1463,5/2/2020,15,Navarra,6411,1979.0,132.0,2281.0
1464,5/3/2020,15,Navarra,6427,1986.0,133.0,2411.0
1465,5/4/2020,15,Navarra,6447,1990.0,133.0,2494.0
1466,5/5/2020,15,Navarra,6561,1995.0,134.0,2562.0
1467,5/6/2020,15,Navarra,6770,2005.0,135.0,2628.0
1468,5/7/2020,15,Navarra,7010,2015.0,135.0,2732.0
1469,5/8/2020,15,Navarra,7227,2015.0,135.0,2827.0
1470,5/9/2020,15,Navarra,7442,2021.0,135.0,2917.0
1471,5/10/2020,15,Navarra,7455,2023.0,135.0,3014.0
1472,5/11/2020,15,Navarra,7486,2029.0,135.0,3070.0
1473,5/12/2020,15,Navarra,7637,2039.0,135.0,3155.0
1474,5/13/2020,15,Navarra,7752,2042.0,135.0,3297.0
1475,5/14/2020,15,Navarra,7891,2045.0,135.0,3400.0
1476,5/15/2020,15,Navarra,8082,2045.0,136.0,3550.0
1477,5/16/2020,15,Navarra,8235,2045.0,136.0,3658.0
1478,5/17/2020,15,Navarra,8293,2045.0,136.0,3751.0
