,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
1479,2/21/2020,16,País Vasco,0,,,
1480,2/22/2020,16,País Vasco,0,,,
1481,2/23/2020,16,País Vasco,0,,,
1482,2/24/2020,16,País Vasco,0,,,
1483,2/25/2020,16,País Vasco,0,,,
1484,2/26/2020,16,País Vasco,0,,,
1485,2/27/2020,16,País Vasco,0,,,
1486,2/28/2020,16,País Vasco,0,,,
1487,2/29/2020,16,País Vasco,2,,,
1488,3/1/2020,16,País Vasco,3,,,
1489,3/2/2020,16,País Vasco,9,,,
1490,3/3/2020,16,País Vasco,13,,,
1491,3/4/2020,16,País Vasco,17,,,
1492,3/5/2020,16,País Vasco,17,,,
1493,3/6/2020,16,País Vasco,45,,,
1494,3/7/2020,16,País Vasco,45,,,
1495,3/8/2020,16,País Vasco,70,,,
1496,3/9/2020,16,País Vasco,149,,5.0,2.0
1497,3/10/2020,16,País Vasco,195,,5.0,2.0
1498,3/11/2020,16,País Vasco,225,102.0,15.0,2.0
1499,3/12/2020,16,País Vasco,346,146.0,18.0,2.0
1500,3/13/2020,16,País Vasco,417,179.0,20.0,2.0
1501,3/14/2020,16,País Vasco,521,179.0,22.0,5.0
1502,3/15/2020,16,País Vasco,630,262.0,29.0,5.0
1503,3/16/2020,16,País Vasco,630,262.0,29.0,5.0
1504,3/17/2020,16,País Vasco,765,309.0,33.0,11.0
1505,3/18/2020,16,País Vasco,973,353.0,37.0,14.0
1506,3/19/2020,16,País Vasco,1190,455.0,44.0,18.0
1507,3/20/2020,16,País Vasco,1465,550.0,53.0,21.0
1508,3/21/2020,16,País Vasco,1725,654.0,71.0,165.0
1509,3/22/2020,16,País Vasco,2097,988.0,81.0,216.0
1510,3/23/2020,16,País Vasco,2421,1252.0,92.0,283.0
1511,3/24/2020,16,País Vasco,2728,1425.0,106.0,344.0
1512,3/25/2020,16,País Vasco,3271,1577.0,119.0,466.0
1513,3/26/2020,16,País Vasco,3946,1907.0,137.0,621.0
1514,3/27/2020,16,País Vasco,4601,2270.0,154.0,814.0
1515,3/28/2020,16,País Vasco,5136,2612.0,176.0,1023.0
1516,3/29/2020,16,País Vasco,5740,3106.0,271.0,1503.0
1517,3/30/2020,16,País Vasco,6057,3427.0,293.0,1646.0
1518,3/31/2020,16,País Vasco,6320,3594.0,307.0,1796.0
1519,4/1/2020,16,País Vasco,6838,3806.0,324.0,2165.0
1520,4/2/2020,16,País Vasco,7317,4087.0,344.0,2490.0
1521,4/3/2020,16,País Vasco,7827,4283.0,363.0,2809.0
1522,4/4/2020,16,País Vasco,8187,4522.0,377.0,3098.0
1523,4/5/2020,16,País Vasco,8628,4666.0,404.0,3405.0
1524,4/6/2020,16,País Vasco,8810,4794.0,410.0,3568.0
1525,4/7/2020,16,País Vasco,9021,4856.0,417.0,3728.0
1526,4/8/2020,16,País Vasco,9452,4982.0,430.0,4151.0
1527,4/9/2020,16,País Vasco,9806,5130.0,433.0,4514.0
1528,4/10/2020,16,País Vasco,10103,5290.0,442.0,4680.0
1529,4/11/2020,16,País Vasco,10515,5402.0,453.0,4741.0
1530,4/12/2020,16,País Vasco,10772,5547.0,459.0,4867.0
1531,4/13/2020,16,País Vasco,11018,5622.0,464.0,5026.0
1532,4/14/2020,16,País Vasco,11226,5679.0,470.0,5193.0
1533,4/15/2020,16,País Vasco,11475,5750.0,471.0,5428.0
1534,4/16/2020,16,País Vasco,11790,5863.0,478.0,5813.0
1535,4/17/2020,16,País Vasco,12089,5939.0,484.0,6144.0
1536,4/18/2020,16,País Vasco,12355,6030.0,490.0,6556.0
1537,4/19/2020,16,País Vasco,12569,6086.0,499.0,6972.0
1538,4/20/2020,16,País Vasco,12628,6109.0,501.0,7124.0
1539,4/21/2020,16,País Vasco,12810,6141.0,507.0,7277.0
1540,4/22/2020,16,País Vasco,13044,6201.0,513.0,7651.0
1541,4/23/2020,16,País Vasco,13436,6260.0,516.0,8136.0
1542,4/24/2020,16,País Vasco,13780,6315.0,518.0,8459.0
1543,4/25/2020,16,País Vasco,14132,6375.0,525.0,8941.0
1544,4/26/2020,16,País Vasco,14315,6426.0,533.0,9602.0
1545,4/27/2020,16,País Vasco,14412,6457.0,538.0,9840.0
1546,4/28/2020,16,País Vasco,14804,6482.0,539.0,9974.0
1547,4/29/2020,16,País Vasco,15138,6522.0,540.0,10474.0
1548,4/30/2020,16,País Vasco,15519,6561.0,541.0,10936.0
1549,5/1/2020,16,País Vasco,15969,6607.0,544.0,11380.0
1550,5/2/2020,16,País Vasco,16119,6659.0,551.0,11805.0
1551,5/3/2020,16,País Vasco,16197,6692.0,553.0,12024.0
1552,5/4/2020,16,País Vasco,16246,6719.0,554.0,12155.0
1553,5/5/2020,16,País Vasco,16426,6736.0,556.0,12251.0
1554,5/6/2020,16,País Vasco,16679,6781.0,559.0,12749.0
1555,5/7/2020,16,País Vasco,16959,6797.0,561.0,13070.0
1556,5/8/2020,16,País Vasco,17286,6818.0,566.0,13540.0
1557,5/9/2020,16,País Vasco,17553,6865.0,568.0,13985.0
1558,5/10/2020,16,País Vasco,17677,6902.0,571.0,14646.0
1559,5/11/2020,16,País Vasco,17709,6922.0,573.0,14718.0
1560,5/12/2020,16,País Vasco,17840,6929.0,574.0,14913.0
1561,5/13/2020,16,País Vasco,18095,6955.0,575.0,14986.0
1562,5/14/2020,16,País Vasco,18100,6994.0,577.0,15256.0
1563,5/15/2020,16,País Vasco,18138,7009.0,578.0,15256.0
1564,5/16/2020,16,País Vasco,18607,7011.0,578.0,15678.0
1565,5/17/2020,16,País Vasco,18733,7015.0,578.0,16028.0
